Date,Open,High,Low,Close,Volume,Change
2020-01-02,42200,42200,41050,41200,542387,-0.026004728132387744
2020-01-03,41350,41550,40900,41000,482449,-0.004854368932038833
2020-01-06,40850,40850,39450,39500,861179,-0.03658536585365857
2020-01-07,39500,40100,39500,39700,440635,0.005063291139240533
2020-01-08,39100,39150,37450,37650,1269380,-0.05163727959697728
2020-01-09,38600,38850,38150,38650,739566,0.026560424966799445
2020-01-10,38650,38900,38050,38800,496574,0.0038809831824062613
2020-01-13,38600,40950,38500,40600,890218,0.046391752577319645
2020-01-14,41000,41150,40300,40600,448300,0.0
2020-01-15,40700,41700,40350,41700,590535,0.027093596059113212
2020-01-16,41700,41700,41000,41250,282962,-0.010791366906474864
2020-01-17,41300,42150,41250,42050,508364,0.019393939393939297
2020-01-20,42050,42200,41450,41800,318899,-0.005945303210463715
2020-01-21,41850,42550,41650,41750,373951,-0.0011961722488038617
2020-01-22,41800,42050,40950,41450,433391,-0.007185628742514938
2020-01-23,41350,41500,40500,40650,530432,-0.0193003618817853
2020-01-28,39100,39850,38650,38800,616097,-0.045510455104551095
2020-01-29,39050,39750,38700,39650,523303,0.021907216494845283
2020-01-30,39650,39950,38550,38650,569259,-0.02522068095838592
2020-01-31,38900,39500,38200,38200,444862,-0.011642949547218673
2020-02-03,37750,38000,36900,37600,662866,-0.015706806282722474
2020-02-04,37700,39000,37700,38550,464234,0.025265957446808596
2020-02-05,39000,39100,38500,38550,500338,0.0
2020-02-06,39000,40900,39000,40700,786307,0.055771725032425445
2020-02-07,40800,41150,40150,40500,415223,-0.004914004914004955
2020-02-10,40150,40250,39750,40100,337246,-0.00987654320987652
2020-02-11,40100,40600,39800,39900,404327,-0.004987531172069848
2020-02-12,39950,40200,39600,40100,522541,0.005012531328320913
2020-02-13,40100,40400,39250,39300,626488,-0.01995012468827928
2020-02-14,39200,39400,38750,38950,490248,-0.008905852417302795
2020-02-17,38950,39350,38800,39100,340635,0.0038510911424902705
2020-02-18,39000,39050,38550,38650,293620,-0.011508951406649648
2020-02-19,38950,38950,37900,38150,446052,-0.012936610608020649
2020-02-20,38150,38300,37550,37550,488935,-0.01572739187418082
2020-02-21,37200,37250,36600,36650,541738,-0.023968042609853524
2020-02-24,35500,35850,34500,34650,921320,-0.054570259208731264
2020-02-25,34250,36050,34250,35900,701763,0.03607503607503615
2020-02-26,35000,36900,34950,36550,687060,0.01810584958217265
2020-02-27,36200,37200,35700,35750,549367,-0.02188782489740082
2020-02-28,35250,35650,34500,34700,739388,-0.029370629370629397
2020-03-02,34700,35300,34200,34550,587249,-0.004322766570605152
2020-03-03,35400,35700,34700,34850,570550,0.00868306801736618
2020-03-04,34750,35500,34700,35150,447044,0.008608321377331363
2020-03-05,35600,36600,35250,36000,798079,0.024182076813655806
2020-03-06,36450,36550,35050,35300,847585,-0.019444444444444486
2020-03-09,34450,34800,32750,32900,1167994,-0.06798866855524077
2020-03-10,32050,33050,32050,32550,890553,-0.010638297872340385
2020-03-11,32700,32900,31700,31750,638685,-0.02457757296466978
2020-03-12,31400,31450,29300,29700,1435817,-0.06456692913385831
2020-03-13,27000,29100,26200,28250,1808030,-0.04882154882154888
2020-03-16,28350,29500,27050,27050,969795,-0.04247787610619469
2020-03-17,25500,27350,25500,26100,1223593,-0.03512014787430684
2020-03-18,26500,26700,23350,23350,1681585,-0.1053639846743295
2020-03-19,23600,24100,19300,19300,2750825,-0.17344753747323338
2020-03-20,19950,21200,19200,21200,1887135,0.09844559585492219
2020-03-23,19150,20300,19150,19550,1117661,-0.0778301886792453
2020-03-24,20200,21950,19850,21950,1297187,0.1227621483375958
2020-03-25,23250,25100,23000,24600,1902036,0.12072892938496582
2020-03-26,24700,25750,23850,24800,1536069,0.008130081300812941
2020-03-27,26000,26350,24100,25100,1255885,0.012096774193548487
2020-03-30,24000,25750,23700,25500,876754,0.015936254980079667
2020-03-31,26000,30700,25900,27450,2999864,0.07647058823529407
2020-04-01,27100,28000,25650,25800,1102830,-0.060109289617486295
2020-04-02,25750,27600,25000,27450,1270336,0.06395348837209291
2020-04-03,27650,28250,26500,26900,1083530,-0.02003642987249543
2020-04-06,27300,28000,26900,28000,1015865,0.040892193308550207
2020-04-07,28950,28950,28000,28750,1048728,0.02678571428571419
2020-04-08,28550,29650,28200,28650,1045667,-0.003478260869565264
2020-04-09,29250,30200,28950,30200,1081463,0.054101221640488584
2020-04-10,30200,31300,29550,30650,1048899,0.01490066225165565
2020-04-13,30650,32000,30200,30950,1095216,0.00978792822185981
2020-04-14,31800,32800,31250,32250,1095785,0.042003231017770704
2020-04-16,32550,33650,31500,32900,1419590,0.020155038759689825
2020-04-17,33850,33850,33000,33150,968653,0.0075987841945288626
2020-04-20,33050,34950,32750,34300,1629276,0.03469079939668185
2020-04-21,34750,36500,32300,34500,3336766,0.005830903790087438
2020-04-22,33700,35700,32750,35300,1710358,0.023188405797101463
2020-04-23,35700,35700,34300,34750,971431,-0.015580736543909346
2020-04-24,34250,34500,32600,33000,1333616,-0.05035971223021585
2020-04-27,33300,33900,33000,33900,847601,0.027272727272727337
2020-04-28,34400,34650,33650,34300,792317,0.01179941002949847
2020-04-29,34550,35100,34200,35050,1030144,0.02186588921282806
2020-05-04,34700,35700,33750,33950,1334247,-0.031383737517831634
2020-05-06,34600,34950,34300,34800,796292,0.025036818851251752
2020-05-07,34900,35450,34650,34950,609269,0.004310344827586299
2020-05-08,35050,35200,34850,35000,588710,0.0014306151645206988
2020-05-11,34800,34850,33900,33900,734721,-0.03142857142857147
2020-05-12,33900,33900,32700,33100,829805,-0.02359882005899705
2020-05-13,32500,33400,32250,33400,579619,0.009063444108761365
2020-05-14,32800,33000,32350,32950,655871,-0.013473053892215536
2020-05-15,33000,33050,32350,32600,451229,-0.01062215477996964
2020-05-18,32600,32650,31900,32300,481239,-0.009202453987730008
2020-05-19,33100,33850,33100,33550,916828,0.03869969040247678
2020-05-20,33150,33500,33100,33100,466112,-0.01341281669150518
2020-05-21,33450,33500,32800,33000,567215,-0.0030211480362537513
2020-05-22,33300,33300,32050,32650,558579,-0.010606060606060619
2020-05-25,32700,32700,32000,32400,414953,-0.007656967840735107
2020-05-26,32450,34100,32400,33750,1434923,0.04166666666666674
2020-05-27,33950,35300,33900,35200,1613356,0.04296296296296287
2020-05-28,35700,35750,33250,33850,1472432,-0.03835227272727271
2020-05-29,33350,34200,33000,34200,1313368,0.010339734121122657
2020-06-01,34050,34750,33900,34250,816395,0.0014619883040936088
2020-06-02,34800,35800,34400,35050,1529691,0.023357664233576658
2020-06-03,35500,37350,35200,36950,2749367,0.0542082738944365
2020-06-04,37600,38150,35750,36500,1926146,-0.012178619756427644
2020-06-05,36200,37200,35850,37200,769982,0.019178082191780854
2020-06-08,37750,37900,36600,36700,780013,-0.013440860215053752
2020-06-09,36400,36950,35350,35700,1076141,-0.027247956403269713
2020-06-10,35350,35900,35000,35900,659808,0.0056022408963585235
2020-06-11,35500,35800,35050,35500,742484,-0.011142061281337101
2020-06-12,33650,34200,33650,33900,945605,-0.04507042253521132
2020-06-15,33500,33550,31350,31350,996594,-0.0752212389380531
2020-06-16,32100,33300,32100,33250,753850,0.06060606060606055
2020-06-17,32550,33100,32100,33100,896465,-0.004511278195488688
2020-06-18,32600,33100,32400,32550,535154,-0.0166163141993958
2020-06-19,32650,33450,32250,33300,772709,0.02304147465437789
2020-06-22,38800,41900,35450,35800,11307283,0.07507507507507505
2020-06-23,36400,36500,34200,34350,2579502,-0.04050279329608941
2020-06-24,35100,35450,34600,34600,1646908,0.00727802037845704
2020-06-25,33800,34200,33150,33400,1486165,-0.034682080924855474
2020-06-26,33850,33900,33400,33550,695187,0.004491017964071808
2020-06-29,33000,33050,32500,32600,752755,-0.028315946348733245
2020-06-30,33000,33650,32900,33050,734421,0.013803680981595123
2020-07-01,33300,34200,33300,33650,651093,0.018154311649016597
2020-07-02,34050,34200,33750,33800,463762,0.004457652303120341
2020-07-03,34400,34550,33800,34500,696058,0.020710059171597628
2020-07-06,34900,34900,34300,34600,605968,0.0028985507246377384
2020-07-07,34750,34850,33900,33900,590782,-0.020231213872832332
2020-07-08,33950,34650,33900,34450,602335,0.016224188790560534
2020-07-09,34600,34650,33800,34150,609351,-0.00870827285921627
2020-07-10,34150,34200,33300,33400,566847,-0.02196193265007318
2020-07-13,33800,34400,33200,34400,694731,0.029940119760478945
2020-07-14,34100,34350,33750,34100,414415,-0.008720930232558155
2020-07-15,34550,35350,34350,34700,1054420,0.017595307917888547
2020-07-16,35000,35500,34650,35350,800019,0.018731988472622474
2020-07-17,35400,35900,34850,34950,649058,-0.011315417256011262
2020-07-20,35100,35950,34600,35700,876966,0.02145922746781115
2020-07-21,35950,36000,35000,35300,789150,-0.011204481792717047
2020-07-22,35250,36200,35050,35600,1045851,0.008498583569405138
2020-07-23,35750,35850,34550,34800,768661,-0.022471910112359605
2020-07-24,34350,36350,34350,35350,1477066,0.015804597701149392
2020-07-27,35600,35800,34500,34550,1001922,-0.022630834512022635
2020-07-28,34650,34900,34100,34300,1049335,-0.00723589001447178
2020-07-29,34350,34400,33850,33900,766813,-0.011661807580174877
2020-07-30,34150,34300,33950,34000,468200,0.002949852507374562
2020-07-31,33950,34300,33650,34300,625699,0.008823529411764675
2020-08-03,34100,34150,33650,33700,454200,-0.017492711370262426
2020-08-04,33950,35650,33950,34750,2189050,0.03115727002967361
