date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-18,8460795,555451,2135509,2031445,8460795,569575,2469696,2347999,8460795,1326177,2954105,2819648,4383978,1326177,2330316,2282414
2020-10-19,8460795,555451,2135509,2031445,8460795,569575,2469696,2347999,8460795,1326177,2954105,2819648,4383978,1326177,2330316,2282414
2020-10-20,8460795,555451,2136435,2032473,8460795,569575,2473785,2352599,8460795,1326177,2913218,2774219,4383978,1326177,2307121,2255651
2020-10-21,8460795,555451,2160603,2052145,8460795,569575,2520051,2394752,8460795,1326177,2955391,2819279,5668903,1326177,2401910,2280898
2020-10-22,8460795,555451,2164517,2056494,8460795,569575,2524066,2399268,8460795,1326177,2944459,2807132,5668903,1326177,2398497,2276961
2020-10-23,8460795,555451,2168146,2060526,8460795,569575,2516422,2390669,8460795,1326177,2897507,2754963,5668903,1326177,2358546,2230864
2020-10-24,8460795,555451,2171516,2064271,8460795,569575,2515305,2389413,8460795,1326177,2863646,2717340,5668903,1326177,2370560,2244725
2020-10-25,8460795,555451,2171516,2064271,8460795,569575,2515305,2389413,8460795,1326177,2863646,2717340,5668903,1326177,2370560,2244725
2020-10-26,8460795,555451,2171516,2064271,8460795,569575,2515305,2389413,8460795,1326177,2863646,2717340,5668903,1326177,2370560,2244725
2020-10-27,8460795,555451,2181478,2075339,8460795,569575,2526131,2401591,8460795,1326177,2879496,2734952,5668903,1326177,2406013,2285632
2020-10-28,8460795,555451,2193803,2089034,8460795,569575,2546809,2424854,8460795,1326177,2904257,2762463,5668903,1326177,2458198,2345847
2020-10-29,8460795,555451,2192314,2087380,8460795,569575,2547533,2425669,8460795,1326177,2895827,2754641,5668903,1374871,2460386,2345847
2020-10-30,8460795,555451,2194934,2090290,8460795,569575,2551041,2429615,8460795,1326177,2874872,2731358,5668903,1374871,2458145,2343260
2020-10-31,8460795,555451,2199224,2094615,8460795,569575,2557018,2436339,8460795,1326177,2870358,2726343,5668903,1374871,2401365,2277746
2020-11-01,8460795,555451,2199224,2094615,8460795,569575,2557018,2436339,8460795,1326177,2870358,2726343,5668903,1374871,2401365,2277746
2020-11-02,8460795,555451,2199224,2094615,8460795,569575,2557018,2436339,8460795,1326177,2870358,2726343,5668903,1374871,2401365,2277746
2020-11-03,8460795,555451,2199762,2095213,8460795,569575,2558405,2437900,8460795,1046012,2856653,2717519,5668903,1046012,2348099,2229584
2020-11-04,8460795,555451,2197655,2092872,8460795,569575,2557275,2436629,8460795,994028,2831678,2696822,5668903,994028,2267838,2151624
2020-11-05,8460795,555451,2201290,2096911,8460795,569575,2555894,2435075,8460795,994028,2828844,2693673,5668903,994028,2178023,2082695
2020-11-06,8460795,555451,2205134,2100240,8460795,569575,2558106,2437563,8460795,994028,2782897,2643411,5668903,994028,2134669,2032670
2020-11-07,8460795,569575,2214394,2109167,8460795,569575,2575352,2453810,8460795,994028,2766468,2625157,5668903,994028,2104286,1997614
2020-11-08,8460795,569575,2214394,2109167,8460795,569575,2575352,2453810,8460795,994028,2766468,2625157,5668903,994028,2104286,1997614
2020-11-09,8460795,569575,2214394,2109167,8460795,569575,2575352,2453810,8460795,994028,2766468,2625157,5668903,994028,2104286,1997614
2020-11-10,8460795,569575,2218673,2113703,8460795,569575,2581695,2460945,6776406,994028,2650692,2550017,5668903,994028,2053359,1938851
2020-11-11,8460795,569575,2224263,2119791,8460795,569575,2590511,2470863,5668903,994028,2567459,2485329,5668903,994028,1996717,1882376
