date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-18,426880000,80110000,173737223,167575926,374300000,83480000,163971778,157722375,374300000,83480000,172862167,167604445,332610000,83480000,170317667,165749616
2020-10-20,426880000,80110000,173817612,167665247,374300000,83480000,166713445,160772125,374300000,83480000,178019000,173188704,332610000,83480000,165586000,160290000
2020-10-21,426880000,80110000,173521223,167335926,374300000,83480000,165813223,159759375,374300000,83480000,176939000,171988704,287100000,83480000,158520334,154840385
2020-10-21,426880000,80110000,173453445,167260618,374300000,83480000,164971778,158812750,374300000,83480000,176992500,172048149,287100000,83480000,154955334,150726924
2020-10-22,426880000,80110000,173453445,167260618,374300000,83480000,164971778,158812750,374300000,83480000,176992500,172048149,287100000,83480000,154955334,150726924
2020-10-23,426880000,80110000,173293000,167084630,374300000,83480000,164428889,158206750,374300000,83480000,176764500,171922593,287100000,83480000,152055667,147646539
2020-10-24,426880000,80110000,173273889,167063396,374300000,83480000,163724000,157413750,374300000,83480000,176958834,172017778,287100000,83480000,149379667,144558847
2020-10-25,426880000,80110000,173078834,166894136,374300000,82570000,163370223,157112625,374300000,82570000,175699500,170882963,287100000,82570000,146103334,141062308
2020-10-26,426880000,80110000,173078834,166894136,374300000,82570000,163370223,157112625,374300000,82570000,175699500,170882963,287100000,82570000,146103334,141062308
2020-10-27,426880000,80110000,173078834,166894136,374300000,82570000,163370223,157112625,374300000,82570000,175699500,170882963,287100000,82570000,146103334,141062308
