date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,25850000,3850000,9010778,8581420,25850000,3850000,7997223,7544000,25850000,3850000,8272334,7762038,25850000,4240000,9484000,8818462
2020-12-09,25850000,3850000,8940056,8508025,25850000,3850000,7998112,7545000,25850000,3850000,8240667,7726852,25850000,4420000,9559000,8887693
2020-12-10,25850000,3850000,8874889,8437346,25850000,3850000,7909667,7474750,25850000,3850000,8264667,7753519,25850000,4420000,9514334,8836154
2020-12-11,25850000,3850000,8802500,8375309,25850000,3850000,7910556,7475750,25850000,4240000,8317000,7796112,25850000,4420000,9523667,8846924
2020-12-12,25850000,3850000,8748556,8315371,25850000,3850000,7892889,7455875,25850000,4240000,8316500,7795556,25850000,4420000,9350334,8646924
2020-12-13,25850000,3850000,8709056,8271482,25850000,3850000,7873445,7434000,25850000,4240000,8309500,7787778,25850000,4420000,9227000,8504616
2020-12-14,25850000,3850000,8709056,8271482,25850000,3850000,7873445,7434000,25850000,4240000,8309500,7787778,25850000,4420000,9227000,8504616
2020-12-15,25850000,3850000,8709056,8271482,25850000,3850000,7873445,7434000,25850000,4240000,8309500,7787778,25850000,4420000,9227000,8504616
2020-12-16,25850000,3850000,8695389,8256297,25850000,3850000,7884000,7445875,25850000,4240000,8278334,7753149,25850000,4420000,8897334,8124231
2020-12-17,25850000,3850000,8635000,8215000,25850000,3850000,7932667,7500625,25850000,4240000,8316334,7795371,25850000,4420000,8858334,8079231
2020-12-18,25850000,3850000,8613223,8190803,25850000,3850000,7948334,7518250,25850000,4240000,8378334,7864260,25850000,4420000,8877667,8101539
2020-12-19,25850000,3850000,8603612,8180124,25850000,3850000,7938889,7507625,25850000,4240000,8380667,7866852,20730000,4420000,8227667,7873847
2020-12-20,25850000,3850000,8635889,8215988,25850000,3850000,8007334,7564625,25850000,4240000,8446667,7940186,20730000,4420000,8423000,8037693
2020-12-21,25850000,3850000,8635889,8215988,25850000,3850000,8007334,7564625,25850000,4240000,8446667,7940186,20730000,4420000,8423000,8037693
2020-12-22,25850000,3850000,8635889,8215988,25850000,3850000,8007334,7564625,25850000,4240000,8446667,7940186,20730000,4420000,8423000,8037693
2020-12-23,25850000,3850000,8615834,8193704,25850000,3850000,8014667,7572875,25850000,4240000,8392000,7879445,20730000,4420000,8411334,8024231
2020-12-24,25850000,3850000,8573612,8150494,25850000,3850000,7998000,7561250,25850000,3990000,8353334,7849445,20730000,3990000,8176667,7780385
2020-12-25,25850000,3650000,8526000,8103272,25850000,3650000,7958000,7525875,25850000,3650000,8322334,7829260,20730000,3650000,7889334,7478462
2020-12-26,25850000,1380000,8481278,8073210,25850000,1380000,7922667,7521875,25850000,1380000,8208500,7755741,20730000,1380000,7619334,7267308
2020-12-27,25850000,1380000,8481278,8073210,25850000,1380000,7922667,7521875,25850000,1380000,8208500,7755741,20730000,1380000,7619334,7267308
2020-12-28,25850000,1380000,8481278,8073210,25850000,1380000,7922667,7521875,25850000,1380000,8208500,7755741,20730000,1380000,7619334,7267308
2020-12-29,25850000,1380000,8481278,8073210,25850000,1380000,7922667,7521875,25850000,1380000,8208500,7755741,20730000,1380000,7619334,7267308
2020-12-30,25850000,1380000,8445667,8043272,25850000,1380000,7869445,7476625,25850000,1380000,8110167,7667038,20730000,1380000,7460334,7113462
2020-12-31,25850000,1380000,8412445,8006359,25850000,1380000,7850445,7455250,25850000,1380000,8102500,7658519,20730000,1380000,7400334,7044231
2021-01-01,25850000,1380000,8391723,7983334,25850000,1380000,7850223,7455000,25850000,1380000,8098667,7654260,20730000,1380000,7288334,6915000
2021-01-02,25850000,1380000,8368500,7957531,25850000,1380000,7873556,7481250,25850000,1380000,8055500,7606297,20730000,1380000,7107000,6705770
