date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,12040000,2490000,5223223,5081112,8890000,2490000,5001889,4926250,8890000,2690000,4884167,4790371,8890000,3170000,5179000,5056924
2020-10-26,12040000,2490000,5223223,5081112,8890000,2490000,5001889,4926250,8890000,2690000,4884167,4790371,8890000,3170000,5179000,5056924
2020-10-27,12040000,2490000,5223223,5081112,8890000,2490000,5001889,4926250,8890000,2690000,4884167,4790371,8890000,3170000,5179000,5056924
2020-10-28,12040000,2490000,5227889,5086297,8890000,2690000,5039778,4962875,8890000,2690000,4847834,4750000,8890000,3170000,5224667,5109616
2020-10-29,12040000,2490000,5219778,5077284,8890000,2690000,5023223,4944250,8890000,2690000,4834834,4735556,8890000,3170000,5233667,5120000
2020-10-30,12040000,2490000,5252167,5113272,8890000,2690000,5076000,5003625,8890000,2690000,4894334,4801667,8890000,3170000,5274000,5166539
2020-10-31,12040000,2490000,5284334,5146976,8890000,2690000,5119000,5048000,8890000,2690000,4968667,4883519,8400000,3170000,5257667,5166539
2020-11-01,12040000,2490000,5314612,5180618,8890000,2690000,5179334,5110875,8890000,2690000,5043000,4966112,8400000,3170000,5333667,5252693
2020-11-02,12040000,2490000,5314612,5180618,8890000,2690000,5179334,5110875,8890000,2690000,5043000,4966112,8400000,3170000,5333667,5252693
2020-11-03,12040000,2490000,5314612,5180618,8890000,2690000,5179334,5110875,8890000,2690000,5043000,4966112,8400000,3170000,5333667,5252693
