date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-11-11,334940,4840,45283,39346,334940,12240,70026,63246,334940,28190,84639,77999,334940,38660,95246,84388
2020-11-12,334940,4840,46781,39856,334940,12240,73157,65239,334940,28890,89268,81022,334940,38660,102909,90949
2020-11-13,334940,4840,47349,40466,334940,12240,73958,66140,334940,28890,90180,82035,334940,38660,104478,92760
2020-11-14,334940,4840,48215,41044,334940,12240,75769,68177,334940,28890,92450,84558,334940,38660,109195,98202
2020-11-15,334940,4840,48928,41709,334940,12240,77366,69974,334940,28890,94443,86771,334940,38660,112743,102297
2020-11-16,334940,4840,48928,41709,334940,12240,77366,69974,334940,28890,94443,86771,334940,38660,112743,102297
2020-11-17,334940,4840,48928,41709,334940,12240,77366,69974,334940,28890,94443,86771,334940,38660,112743,102297
2020-11-18,431880,4840,51221,42633,431880,12240,81898,72093,431880,28890,101115,90679,431880,38660,125089,111697
2020-11-19,431880,4840,52405,43558,431880,12240,84197,74217,431880,33010,104521,94282,431880,38660,124643,111182
2020-11-20,431880,4840,54004,44639,431880,12240,86891,76462,431880,33010,106398,96367,431880,38660,128880,116070
2020-11-21,431880,4840,55222,45735,431880,12240,89138,78990,431880,33010,109415,99720,431880,38660,134212,122223
2020-11-22,431880,4840,56838,46873,431880,12240,92117,81671,431880,33010,113293,104029,431880,38660,141287,130387
