date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,97830000,23320000,47336945,46420309,82430000,24150000,42923223,41927750,80490000,25330000,44878834,44090556,80490000,27040000,49845667,49347693
2020-12-09,91270000,23320000,47031500,46193519,82430000,24150000,42867112,41864625,80490000,25330000,44769667,43969260,80490000,27040000,50043000,49575385
2020-12-10,91270000,23320000,46696612,45882161,82430000,24150000,42441667,41415250,80490000,24170000,44524334,43755000,80490000,24170000,49063000,48565770
2020-12-11,91270000,23320000,46467278,45644136,82430000,24150000,42527334,41511625,80490000,24170000,44653834,43898889,80490000,24170000,48984667,48475385
2020-12-12,91270000,23320000,46145445,45383272,82430000,24150000,42432445,41404875,80490000,24170000,44551834,43785556,80490000,24170000,47818667,47130000
2020-12-13,91270000,23320000,45926000,45139445,82430000,24150000,42408334,41377750,80490000,24170000,44491334,43718334,80490000,24170000,47486667,46746924
2020-12-14,91270000,23320000,45926000,45139445,82430000,24150000,42408334,41377750,80490000,24170000,44491334,43718334,80490000,24170000,47486667,46746924
2020-12-15,91270000,23320000,45926000,45139445,82430000,24150000,42408334,41377750,80490000,24170000,44491334,43718334,80490000,24170000,47486667,46746924
2020-12-16,91270000,23320000,45841112,45045124,82430000,24150000,42394334,41362000,80490000,24170000,44457834,43681112,80490000,24170000,46356667,45443077
2020-12-17,91270000,23320000,45683000,44869445,82430000,24150000,42393445,41361000,80490000,24170000,44337500,43547408,80490000,24170000,45846000,44853847
2020-12-18,91270000,23320000,45509889,44677099,82430000,24150000,42476334,41454250,80490000,24170000,44163167,43353704,80490000,24170000,45340667,44270770
2020-12-19,91270000,23320000,45382834,44535926,82430000,24150000,42462334,41438500,80490000,24170000,44031000,43206852,77480000,24170000,43754667,42683462
2020-12-20,91270000,23320000,45208500,44342223,82430000,24150000,42535112,41520375,80490000,24170000,43877667,43036482,74180000,24170000,42415000,41529616
2020-12-21,91270000,23320000,45208500,44342223,82430000,24150000,42535112,41520375,80490000,24170000,43877667,43036482,74180000,24170000,42415000,41529616
2020-12-22,91270000,23320000,45208500,44342223,82430000,24150000,42535112,41520375,80490000,24170000,43877667,43036482,74180000,24170000,42415000,41529616
2020-12-23,91270000,23320000,44987000,44146791,82430000,24150000,42713000,41720500,80490000,24170000,43850167,43005926,74180000,24170000,41920667,40959231
2020-12-24,91270000,23320000,44751445,43888396,82430000,24150000,42794445,41787250,80490000,24170000,43623334,42753889,67290000,24170000,40512000,39817308
2020-12-25,91270000,23320000,44662778,43789877,82430000,24150000,42847000,41838625,80490000,24170000,43720334,42824815,61610000,24170000,39307334,38689616
2020-12-26,91270000,20550000,44403389,43541235,82430000,20550000,42692445,41745875,80490000,20550000,43251667,42429445,61610000,20550000,38450000,37950000
2020-12-27,91270000,20550000,44403389,43541235,82430000,20550000,42692445,41745875,80490000,20550000,43251667,42429445,61610000,20550000,38450000,37950000
2020-12-28,91270000,20550000,44403389,43541235,82430000,20550000,42692445,41745875,80490000,20550000,43251667,42429445,61610000,20550000,38450000,37950000
2020-12-29,91270000,20550000,44403389,43541235,82430000,20550000,42692445,41745875,80490000,20550000,43251667,42429445,61610000,20550000,38450000,37950000
2020-12-30,91270000,20550000,44326500,43469568,82430000,20550000,42647556,41723250,80490000,20550000,42798834,41976112,61610000,20550000,37901667,37317308
2020-12-31,91270000,20550000,44235223,43368149,82430000,20550000,42625223,41698125,80490000,20550000,42861167,42045371,61610000,20550000,37509334,36864616
