date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,10110000,1270000,3080445,2887840,6140000,1270000,2478667,2417375,6140000,1270000,2434500,2356667,6140000,1270000,2747667,2650385
2020-12-09,10110000,1270000,3050445,2863951,6140000,1270000,2472223,2410125,6140000,1270000,2448334,2372038,6140000,1270000,2760667,2665385
2020-12-10,10110000,1270000,3008278,2836667,6140000,1270000,2455000,2390750,6140000,1270000,2439334,2362038,6140000,1270000,2706667,2603077
2020-12-11,10110000,1270000,2980612,2816297,6140000,1270000,2460445,2396875,6140000,1270000,2451000,2375000,6140000,1270000,2669000,2559616
2020-12-12,10110000,1270000,2955334,2792531,6140000,1270000,2464000,2400875,6140000,1270000,2438334,2360926,6140000,1270000,2639000,2525000
2020-12-13,10110000,1270000,2942112,2777840,6140000,1270000,2454667,2390375,6140000,1270000,2423667,2344630,6140000,1270000,2612334,2494231
2020-12-14,10110000,1270000,2942112,2777840,6140000,1270000,2454667,2390375,6140000,1270000,2423667,2344630,6140000,1270000,2612334,2494231
2020-12-15,10110000,1270000,2942112,2777840,6140000,1270000,2454667,2390375,6140000,1270000,2423667,2344630,6140000,1270000,2612334,2494231
2020-12-16,10110000,1270000,2939112,2774507,6140000,1270000,2459556,2395875,6140000,1270000,2411167,2333889,6140000,1270000,2649000,2536539
2020-12-17,10110000,1270000,2931667,2766235,6140000,1270000,2460556,2397000,6140000,1270000,2383834,2303889,6140000,1270000,2654000,2542308
2020-12-18,10110000,1270000,2921500,2754939,6140000,1270000,2457000,2393000,6140000,1270000,2381334,2301112,6140000,1270000,2655667,2544231
2020-12-19,10110000,1270000,2912278,2744692,6140000,1270000,2441112,2375125,6140000,1270000,2382667,2302593,6140000,1270000,2628667,2513077
2020-12-20,10110000,1270000,2918056,2751112,6140000,1270000,2469445,2398000,6140000,1270000,2433667,2345556,6140000,1270000,2710334,2599231
2020-12-21,10110000,1270000,2918056,2751112,6140000,1270000,2469445,2398000,6140000,1270000,2433667,2345556,6140000,1270000,2710334,2599231
2020-12-22,10110000,1270000,2918056,2751112,6140000,1270000,2469445,2398000,6140000,1270000,2433667,2345556,6140000,1270000,2710334,2599231
