date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,23660000,3550000,8684556,8326667,23240000,3550000,7192334,6821750,23240000,3670000,7893167,7498704,13120000,3670000,7440334,7258847
2020-12-09,23240000,3550000,8590612,8258519,23240000,3550000,7220223,6853125,23240000,3670000,7940167,7534260,13120000,3670000,7478000,7302308
2020-12-10,23240000,3550000,8537000,8208334,23240000,3550000,7222667,6855875,23240000,3670000,8012334,7592038,13120000,3670000,7562667,7400000
2020-12-11,23240000,3550000,8475223,8149630,23240000,3550000,7201000,6831500,23240000,3670000,7943000,7515000,13120000,3670000,7624000,7459231
2020-12-12,23240000,3550000,8428223,8097408,23240000,3550000,7168334,6794750,23240000,3670000,7721167,7386852,13120000,3670000,7580334,7408847
2020-12-13,23240000,3550000,8371778,8040062,23240000,3550000,7161112,6786625,23240000,3670000,7665000,7324445,13120000,3670000,7522667,7342308
2020-12-14,23240000,3550000,8371778,8040062,23240000,3550000,7161112,6786625,23240000,3670000,7665000,7324445,13120000,3670000,7522667,7342308
2020-12-15,23240000,3550000,8371778,8040062,23240000,3550000,7161112,6786625,23240000,3670000,7665000,7324445,13120000,3670000,7522667,7342308
2020-12-16,23240000,3550000,8312389,7986050,23240000,3550000,7173334,6800375,23240000,3670000,7520000,7191667,13120000,3670000,7419334,7223077
2020-12-17,23240000,3550000,8243667,7937593,23240000,3550000,7197445,6827500,23240000,3670000,7503000,7172778,13120000,3670000,7329667,7119616
