date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,24990000,2420000,7510723,7005803,24990000,2420000,7045223,6364875,20370000,2420000,6008834,5635741,17410000,3480000,6063334,5670000
2020-10-26,24990000,2420000,7510723,7005803,24990000,2420000,7045223,6364875,20370000,2420000,6008834,5635741,17410000,3480000,6063334,5670000
2020-10-27,24990000,2420000,7510723,7005803,24990000,2420000,7045223,6364875,20370000,2420000,6008834,5635741,17410000,3480000,6063334,5670000
2020-10-28,24990000,2420000,7515723,7011359,24990000,2420000,7066445,6388750,20370000,2420000,6013334,5640741,17410000,3480000,6024334,5625000
2020-10-29,24990000,2420000,7509389,7004939,24990000,2420000,7040889,6360000,20370000,2420000,5975834,5599075,17410000,3480000,5967334,5559231
2020-10-30,24990000,2420000,7553834,7054321,24990000,2420000,7095223,6421125,20370000,2420000,6095667,5712408,17410000,3480000,6211667,5800000
2020-10-31,24990000,2420000,7576445,7079445,24990000,2420000,7128334,6458375,20370000,2420000,6163667,5787963,17410000,3480000,6248000,5841924
2020-11-01,24990000,2420000,7591056,7095680,24990000,2420000,7169223,6504375,20370000,2420000,6195334,5823149,17410000,3480000,6326334,5932308
2020-11-02,24990000,2420000,7591056,7095680,24990000,2420000,7169223,6504375,20370000,2420000,6195334,5823149,17410000,3480000,6326334,5932308
2020-11-03,24990000,2420000,7591056,7095680,24990000,2420000,7169223,6504375,20370000,2420000,6195334,5823149,17410000,3480000,6326334,5932308
2020-11-04,24990000,2420000,7588334,7092655,24990000,2420000,7142667,6474500,20370000,2420000,6190667,5817963,17410000,3540000,6357334,5962308
2020-11-05,24990000,2420000,7586167,7090247,24990000,2420000,7129889,6460125,20370000,2420000,6130000,5750556,17410000,3540000,6356000,5960770
2020-11-06,24990000,2420000,7592834,7097655,24990000,2420000,7140334,6471875,20370000,2420000,6125000,5745000,17410000,3540000,6403000,6015000
2020-11-07,24990000,2420000,7584112,7087963,24990000,2420000,7092112,6417625,20370000,2420000,6164334,5785926,17410000,3540000,6456334,6076539
2020-11-08,24990000,2420000,7571667,7074136,24990000,2420000,7068667,6391250,20370000,2420000,6186000,5800000,17410000,3540000,6438667,6056154
2020-11-09,24990000,2420000,7571667,7074136,24990000,2420000,7068667,6391250,20370000,2420000,6186000,5800000,17410000,3540000,6438667,6056154
