date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,570910000,13700000,90079778,77966667,570910000,33600000,126011000,112415250,387900000,37330000,108020667,96756297,387900000,37330000,99797667,82446154
2020-10-26,570910000,13700000,90079778,77966667,570910000,33600000,126011000,112415250,387900000,37330000,108020667,96756297,387900000,37330000,99797667,82446154
2020-10-27,570910000,13700000,90079778,77966667,570910000,33600000,126011000,112415250,387900000,37330000,108020667,96756297,387900000,37330000,99797667,82446154
2020-10-28,570910000,13700000,90107723,77997717,570910000,33600000,125937000,112332000,387900000,37330000,108193667,96948519,387900000,37330000,99929667,82598462
2020-10-29,570910000,13700000,90386389,78307346,570910000,33600000,126155445,112577750,387900000,37330000,107882500,96602778,387900000,37330000,99684000,82315000
2020-10-30,570910000,13700000,91553112,79603704,570910000,33600000,127383889,113959750,387900000,37330000,109837334,98774815,387900000,37330000,106029334,89636539
2020-10-31,570910000,13700000,91926500,80018581,570910000,33600000,127750334,114372000,387900000,37330000,111288667,100387408,387900000,37330000,108762000,92789616
2020-11-01,570910000,13700000,92420612,80567593,570910000,33600000,128753000,115500000,387900000,37330000,112607834,101853149,387900000,37330000,110793000,95133077
2020-11-02,570910000,13700000,92420612,80567593,570910000,33600000,128753000,115500000,387900000,37330000,112607834,101853149,387900000,37330000,110793000,95133077
2020-11-03,570910000,13700000,92420612,80567593,570910000,33600000,128753000,115500000,387900000,37330000,112607834,101853149,387900000,37330000,110793000,95133077
2020-11-04,570910000,13700000,93489834,81755618,570910000,37330000,131332112,118270000,387900000,37330000,115632000,105213334,387900000,37330000,117615000,103004616
2020-11-05,570910000,13700000,94216167,82562655,570910000,37330000,133238112,120414250,387900000,37330000,116237000,105885556,387900000,37330000,122516334,108660000
2020-11-06,570910000,13700000,95876778,84247717,570910000,37330000,136070334,123600500,387900000,37330000,120602334,110735926,387900000,37330000,131460334,118980000
2020-11-07,570910000,13700000,97244667,85767593,570910000,37330000,138710667,126570875,387900000,37330000,124808667,115409630,387900000,37330000,140072000,128916539
2020-11-08,570910000,13700000,97695000,86267963,570910000,37330000,139442000,127393625,387900000,37330000,128543167,119559075,387900000,37330000,148223000,138321539
2020-11-09,570910000,13700000,97695000,86267963,570910000,37330000,139442000,127393625,387900000,37330000,128543167,119559075,387900000,37330000,148223000,138321539
2020-11-10,570910000,13700000,97695000,86267963,570910000,37330000,139442000,127393625,387900000,37330000,128543167,119559075,387900000,37330000,148223000,138321539
2020-11-10,570910000,13700000,98522778,87187717,570910000,37330000,138214334,126012500,387900000,37330000,130883000,122158889,387900000,37330000,150034667,140411924
