date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,3100000,125680,755510,699190,3100000,125680,603359,553377,3100000,125680,515191,461106,3100000,125680,602321,514100
2020-12-09,4200000,125680,773475,704399,4200000,125680,636470,554627,4200000,125680,579752,475803,4200000,125680,734823,555065
2020-12-10,4200000,125680,783794,711914,4200000,125680,658696,564132,4200000,125680,617954,493806,4200000,125680,815579,648084
2020-12-11,4200000,125680,786526,714949,4200000,125680,653474,563757,4200000,125680,636806,514752,4200000,125680,851513,689547
2020-12-12,4200000,125680,799464,721546,4200000,125680,680128,569867,4200000,125680,686881,557984,4200000,125680,948985,795091
2020-12-13,4200000,125680,813085,732175,4200000,125680,702383,579404,4200000,125680,727241,602828,4200000,125680,1034220,893440
2020-12-14,4200000,125680,813085,732175,4200000,125680,702383,579404,4200000,125680,727241,602828,4200000,125680,1034220,893440
2020-12-15,4200000,125680,813085,732175,4200000,125680,702383,579404,4200000,125680,727241,602828,4200000,125680,1034220,893440
2020-12-16,4200000,125680,823350,740927,4200000,125680,726086,606070,4200000,125680,760594,639887,4200000,125680,1112837,983149
2020-12-17,4200000,125680,827341,745360,4200000,125680,736035,617263,4200000,125680,771234,651709,4200000,125680,1146252,1021215
2020-12-18,4200000,125680,828983,747185,4200000,125680,743200,625323,4200000,125680,779953,661397,4200000,125680,1157558,1034261
2020-12-19,4200000,125680,822868,740390,4200000,125680,748050,630780,4200000,125680,781523,663141,4200000,125680,1178146,1058017
2020-12-20,4200000,125680,827145,745143,4200000,125680,764829,649656,4200000,125680,800729,684481,4200000,125680,1233137,1120064
2020-12-21,4200000,125680,827145,745143,4200000,125680,764829,649656,4200000,125680,800729,684481,4200000,125680,1233137,1120064
2020-12-22,4200000,125680,827145,745143,4200000,125680,764829,649656,4200000,125680,800729,684481,4200000,125680,1233137,1120064
2020-12-23,4200000,125680,830628,749013,4200000,125680,775450,661604,4200000,125680,810891,695773,4200000,125680,1263273,1154836
2020-12-24,4200000,125680,833717,752445,4200000,125680,782956,670049,4200000,125680,824425,710810,4200000,125680,1261607,1152913
2020-12-25,4200000,125680,829106,747322,4200000,125680,792211,680461,4200000,125680,839738,727825,4200000,125680,1273706,1166874
