date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,14650000,1090000,3004834,2792963,14650000,1090000,2241223,2080625,3940000,1090000,2124834,2090556,3940000,1090000,2203334,2171924
2020-10-26,14650000,1090000,3004834,2792963,14650000,1090000,2241223,2080625,3940000,1090000,2124834,2090556,3940000,1090000,2203334,2171924
2020-10-27,14650000,1090000,3004834,2792963,14650000,1090000,2241223,2080625,3940000,1090000,2124834,2090556,3940000,1090000,2203334,2171924
2020-10-28,14650000,1090000,3009056,2797284,14650000,1090000,2227889,2066875,3940000,1090000,2103000,2070186,3940000,1090000,2209667,2179231
2020-10-29,14650000,1090000,3008000,2796112,3940000,1090000,2081667,2045875,3940000,1090000,2097500,2064075,3940000,1090000,2178667,2143462
2020-10-30,14650000,1090000,3017500,2806173,3940000,1090000,2075334,2038750,3940000,1090000,2082667,2055186,3940000,1090000,2181334,2146539
2020-10-31,14650000,1090000,3021834,2810988,3940000,1090000,2067000,2031500,3940000,1090000,2090667,2064075,3220000,1090000,2130667,2124231
2020-11-01,14650000,1090000,3028000,2816914,3940000,1090000,2063778,2027875,3940000,1090000,2104167,2079075,3000000,1090000,2104000,2108462
2020-11-02,14650000,1090000,3028000,2816914,3940000,1090000,2063778,2027875,3940000,1090000,2104167,2079075,3000000,1090000,2104000,2108462
2020-11-03,14650000,1090000,3028000,2816914,3940000,1090000,2063778,2027875,3940000,1090000,2104167,2079075,3000000,1090000,2104000,2108462
2020-11-04,14650000,1090000,3035112,2823457,3940000,1090000,2062556,2026500,3940000,1090000,2119000,2095556,3000000,1090000,2121334,2128462
2020-11-05,14650000,1090000,3028334,2815926,3940000,1090000,2057334,2020625,3940000,1090000,2109000,2084445,3000000,1090000,2110667,2116154
2020-11-06,14650000,1090000,3029612,2817346,3940000,1090000,2055223,2018250,3940000,1090000,2127167,2104260,3000000,1090000,2098000,2105385
2020-11-07,14650000,1090000,3027334,2814815,3940000,1090000,2066112,2030500,3940000,1090000,2143334,2122223,3000000,1090000,2103334,2111539
2020-11-08,14650000,1090000,3027500,2815000,3940000,1090000,2089667,2045375,3940000,1090000,2184500,2150741,3930000,1090000,2159000,2129616
2020-11-09,14650000,1090000,3027500,2815000,3940000,1090000,2089667,2045375,3940000,1090000,2184500,2150741,3930000,1090000,2159000,2129616
2020-11-10,14650000,1090000,3027500,2815000,3940000,1090000,2089667,2045375,3940000,1090000,2184500,2150741,3930000,1090000,2159000,2129616
2020-11-10,14650000,1090000,3034500,2819754,6550000,1090000,2144112,2065000,6550000,1090000,2268334,2182223,6550000,1090000,2318000,2176539
2020-11-11,14650000,1090000,3034500,2819754,6550000,1090000,2144112,2065000,6550000,1090000,2268334,2182223,6550000,1090000,2318000,2176539
2020-11-12,14650000,1090000,2989000,2805062,6550000,1090000,2165334,2085500,6550000,1090000,2306834,2223149,6550000,1090000,2340667,2202693
2020-11-13,14650000,1090000,2963167,2782346,6550000,1090000,2169667,2090375,6550000,1090000,2313000,2230000,6550000,1090000,2349000,2212308
2020-11-14,14650000,1090000,2949500,2767161,6550000,1090000,2167112,2087500,6550000,1090000,2322667,2240556,6550000,1090000,2331667,2192308
2020-11-15,14650000,1090000,2939000,2755494,6550000,1090000,2165334,2085500,6550000,1090000,2319000,2236482,6550000,1090000,2326667,2186539
2020-11-16,14650000,1090000,2939000,2755494,6550000,1090000,2165334,2085500,6550000,1090000,2319000,2236482,6550000,1090000,2326667,2186539
2020-11-17,14650000,1090000,2939000,2755494,6550000,1090000,2165334,2085500,6550000,1090000,2319000,2236482,6550000,1090000,2326667,2186539
2020-11-18,14650000,1090000,2933056,2748889,6550000,1090000,2171112,2092000,6550000,1090000,2331334,2250186,6550000,1090000,2346000,2208847
2020-11-19,14650000,1090000,2934167,2750124,6550000,1090000,2181667,2103875,6550000,1090000,2339167,2258889,6550000,1090000,2373334,2240385
2020-11-20,14650000,1090000,2933834,2749754,6550000,1090000,2191223,2114625,6550000,1090000,2359500,2281482,6550000,1090000,2404334,2276154
2020-11-21,14650000,1090000,2930445,2745988,6550000,1090000,2209223,2134875,6550000,1090000,2385834,2310741,6550000,1090000,2452000,2331154
2020-11-22,14650000,1090000,2927723,2742963,6550000,1090000,2230667,2157625,6550000,1090000,2405667,2332778,6550000,1090000,2514000,2398462
2020-11-23,14650000,1090000,2927723,2742963,6550000,1090000,2230667,2157625,6550000,1090000,2405667,2332778,6550000,1090000,2514000,2398462
2020-11-24,14650000,1090000,2927723,2742963,6550000,1090000,2230667,2157625,6550000,1090000,2405667,2332778,6550000,1090000,2514000,2398462
2020-11-25,14650000,1090000,2923000,2737717,6550000,1090000,2246112,2175000,6550000,1090000,2404667,2331667,6550000,1090000,2533334,2420770
2020-11-26,14650000,1090000,2914945,2728766,6550000,1090000,2260223,2190375,6550000,1090000,2424500,2353704,6550000,1090000,2591667,2488077
2020-11-27,14650000,1090000,2903612,2716173,6550000,1090000,2274223,2206125,6550000,1090000,2427500,2357038,6550000,1090000,2614334,2514231
2020-11-28,14650000,1090000,2903612,2716173,6550000,1090000,2274223,2206125,6550000,1090000,2427500,2357038,6550000,1090000,2614334,2514231
2020-11-29,14650000,1090000,2876778,2690433,6550000,1090000,2269889,2202375,6550000,1090000,2401334,2330741,6550000,1090000,2571334,2470770
2020-11-30,14650000,1090000,2876778,2690433,6550000,1090000,2269889,2202375,6550000,1090000,2401334,2330741,6550000,1090000,2571334,2470770
