date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,2630000,14560,144764,114340,2630000,44990,196893,143142,2630000,44990,216817,139863,408580,78890,158024,148639
2020-12-09,2630000,14560,145404,115023,2630000,44990,197175,143459,2630000,44990,217654,140792,408580,78890,159673,150542
2020-12-10,2630000,14560,145665,115314,2630000,44990,195511,141587,2630000,44990,217046,140117,408580,78890,154925,145064
2020-12-11,2630000,14560,145938,115616,2630000,44990,194460,140405,2630000,44990,217442,140556,408580,78890,155125,145295
2020-12-12,2630000,14560,146430,116152,2630000,44990,193805,139668,2630000,54510,218671,141511,408580,78890,154173,144197
2020-12-13,2630000,14560,146802,116500,2630000,44990,193074,138845,2630000,54510,218244,141036,408580,78890,152982,142822
2020-12-14,2630000,14560,146802,116500,2630000,44990,193074,138845,2630000,54510,218244,141036,408580,78890,152982,142822
2020-12-15,2630000,14560,146802,116500,2630000,44990,193074,138845,2630000,54510,218244,141036,408580,78890,152982,142822
2020-12-16,2630000,14560,147112,116811,2630000,44990,192591,138302,2630000,54510,218730,141343,408580,78890,149651,138986
2020-12-17,2630000,14560,147512,117187,2630000,44990,191705,137305,2630000,54510,218176,140727,408580,78890,149459,138764
2020-12-18,2630000,14560,148284,117973,2630000,44990,191718,137319,2630000,54510,219190,141854,408580,78890,149612,138941
2020-12-19,2630000,14560,148933,118629,2630000,44990,191839,137456,2630000,54510,220419,143220,408580,78890,150678,140171
2020-12-20,2630000,19880,149529,119116,2630000,44990,192190,137851,2630000,54510,220996,143861,408580,78890,145405,134086
2020-12-21,2630000,19880,149529,119116,2630000,44990,192190,137851,2630000,54510,220996,143861,408580,78890,145405,134086
2020-12-22,2630000,19880,149529,119116,2630000,44990,192190,137851,2630000,54510,220996,143861,408580,78890,145405,134086
2020-12-23,2630000,24690,150075,119569,2630000,44990,191981,137615,2630000,67220,222057,144588,408580,78890,145897,134654
2020-12-24,2630000,24690,148369,119204,2630000,44990,193417,139195,2630000,70960,224226,146660,300900,78890,138857,132380
2020-12-25,2630000,31930,148730,119480,2630000,44990,193187,138936,2630000,70960,224295,146698,256490,78890,131813,126376
2020-12-26,2630000,31930,149198,120000,2630000,44990,193134,138877,2630000,70960,224753,147208,256490,78890,132969,127710
2020-12-27,2630000,31930,149198,120000,2630000,44990,193134,138877,2630000,70960,224753,147208,256490,78890,132969,127710
2020-12-28,2630000,31930,149198,120000,2630000,44990,193134,138877,2630000,70960,224753,147208,256490,78890,132969,127710
2020-12-29,2630000,31930,149198,120000,2630000,44990,193134,138877,2630000,70960,224753,147208,256490,78890,132969,127710
2020-12-30,2630000,31930,149755,120619,2630000,44990,193112,138852,2630000,70960,225197,147700,256490,78890,134312,129259
2020-12-31,2630000,31930,150099,120966,2630000,44990,192954,138674,2630000,70960,224407,146823,256490,87540,135074,129799
2021-01-01,2630000,31930,150413,121245,2630000,44990,193094,138831,2630000,70960,224253,146653,256490,87540,132490,126817
2021-01-02,2630000,31930,149974,120758,2630000,44990,191847,137429,2630000,70960,223776,146370,256490,74160,132034,126813
2021-01-03,2630000,31930,149974,120758,2630000,44990,191847,137429,2630000,70960,223776,146370,256490,74160,132034,126813
2021-01-04,2630000,31930,149974,120758,2630000,44990,191847,137429,2630000,70960,223776,146370,256490,74160,132034,126813
2021-01-05,2630000,31930,149974,120758,2630000,44990,191847,137429,2630000,70960,223776,146370,256490,74160,132034,126813
2021-01-06,2630000,31930,149714,120469,2630000,44990,192145,137764,2630000,70960,224632,147321,256490,74160,128846,124330
2021-01-07,2630000,31930,149761,120521,2630000,44990,191491,137028,2630000,74160,225201,147646,256490,74160,129424,124998
2021-01-08,2630000,31930,150114,120876,2630000,44990,190889,136351,2630000,74160,224997,147419,256490,74160,128026,123384
2021-01-09,2630000,31930,150210,120984,2630000,44990,190569,135991,2630000,74160,222386,144723,256490,74160,125588,120996
2021-01-10,2630000,31930,150529,121338,2630000,44990,190189,135563,2630000,74160,221090,143283,256490,74160,127180,122833
2021-01-11,2630000,31930,150529,121338,2630000,44990,190189,135563,2630000,74160,221090,143283,256490,74160,127180,122833
2021-01-12,2630000,31930,150529,121338,2630000,44990,190189,135563,2630000,74160,221090,143283,256490,74160,127180,122833
2021-01-13,2630000,31930,151933,122613,2630000,44990,192350,137973,2260000,74160,182301,143283,302620,74160,133044,126214
2021-01-14,2630000,31930,164808,122972,2630000,44990,218828,140044,2520000,74160,221114,145346,2520000,74160,209891,127825
2021-01-15,2630000,31930,164864,123035,2630000,44990,217102,138101,2520000,74160,220007,144117,2520000,74160,204848,122006
2021-01-16,2630000,31930,164885,123058,2630000,44990,214339,135916,2520000,74160,218507,142450,2520000,74160,204383,121470
2021-01-17,2630000,31930,165023,123211,2630000,44990,213696,135192,2520000,74160,182495,138685,2520000,74160,204225,121288
2021-01-18,2630000,31930,165023,123211,2630000,44990,213696,135192,2520000,74160,182495,138685,2520000,74160,204225,121288
