date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,817490,3440,51959,41364,817490,15200,85817,72275,817490,15200,105797,90741,817490,47710,144627,120740
2020-12-09,817490,3440,52464,41925,817490,15200,86888,73479,817490,18200,108050,93146,817490,47710,147585,124153
2020-12-10,817490,3440,52894,42403,817490,15200,87757,74457,817490,18200,109457,94709,817490,47710,147805,124407
2020-12-11,817490,3440,53752,43357,817490,15200,89399,76268,817490,18200,111201,96647,817490,47710,151034,128132
2020-12-12,817490,3440,54124,43770,817490,15200,90192,77161,817490,18200,112074,97617,817490,47710,151111,128221
2020-12-13,817490,3440,54376,44049,817490,15200,90065,77018,817490,18200,112759,98338,817490,52040,151560,128376
2020-12-14,817490,3440,54376,44049,817490,15200,90065,77018,817490,18200,112759,98338,817490,52040,151560,128376
2020-12-15,817490,3440,54376,44049,817490,15200,90065,77018,817490,18200,112759,98338,817490,52040,151560,128376
2020-12-16,817490,3440,54727,44439,817490,15200,90504,77511,817490,18200,112940,98539,817490,52040,152461,129260
2020-12-17,817490,3440,55346,45127,817490,15200,91241,78341,817490,18200,114443,100208,817490,52040,153392,130334
2020-12-18,817490,3440,55812,45646,817490,15200,92293,79524,817490,18200,116679,102603,817490,52040,154148,131206
2020-12-19,817490,3440,56458,46363,817490,15200,93698,81105,817490,18200,119099,105113,817490,52040,156520,133944
2020-12-20,817490,3440,57410,47268,817490,15200,95474,83102,817490,18200,121419,107690,817490,52040,158377,136086
2020-12-21,817490,3440,57410,47268,817490,15200,95474,83102,817490,18200,121419,107690,817490,52040,158377,136086
2020-12-22,817490,3440,57410,47268,817490,15200,95474,83102,817490,18200,121419,107690,817490,52040,158377,136086
2020-12-23,817490,3440,58437,48281,817490,15200,97169,85010,817490,25370,124501,110569,817490,52040,162677,141047
2020-12-24,817490,3440,59318,49260,817490,15200,99003,87073,817490,25370,126797,113120,817490,52040,161500,139689
2020-12-25,817490,3440,60492,50304,817490,15200,101212,89383,817490,31950,130340,116607,817490,52040,165761,144606
2020-12-26,817490,3440,61180,51068,817490,15200,101978,90245,817490,31950,127648,114663,817490,52040,167003,146040
2020-12-27,817490,3440,61180,51068,817490,15200,101978,90245,817490,31950,127648,114663,817490,52040,167003,146040
2020-12-28,817490,3440,61180,51068,817490,15200,101978,90245,817490,31950,127648,114663,817490,52040,167003,146040
2020-12-29,817490,3440,61180,51068,817490,15200,101978,90245,817490,31950,127648,114663,817490,52040,167003,146040
2020-12-30,817490,3440,62514,52110,817490,15200,103398,91362,817490,31950,131186,118009,817490,52040,172701,152614
2020-12-31,817490,3440,63330,53017,817490,15200,104749,92881,817490,31950,132896,119909,817490,61200,176166,156254
2021-01-01,817490,3440,64065,53834,817490,15200,105977,94263,817490,31950,134298,121467,817490,61200,174858,154745
2021-01-02,817490,3440,64390,54195,817490,15200,106501,94852,817490,31950,134955,122153,817490,61200,174117,153890
2021-01-03,817490,3440,64390,54195,817490,15200,106501,94852,817490,31950,134955,122153,817490,61200,174117,153890
2021-01-04,817490,3440,64390,54195,817490,15200,106501,94852,817490,31950,134955,122153,817490,61200,174117,153890
2021-01-05,817490,3440,64390,54195,817490,15200,106501,94852,817490,31950,134955,122153,817490,61200,174117,153890
2021-01-06,817490,3440,66557,55346,817490,15200,110458,97193,817490,31950,139949,125160,817490,61200,183981,160486
2021-01-07,817490,3440,67685,56473,817490,15200,112549,99545,817490,31950,141526,126912,817490,61200,188977,166250
2021-01-08,817490,3440,70553,57763,817490,15200,118217,102636,817490,31950,148974,130579,817490,61200,197272,171036
2021-01-09,817490,3440,73720,59137,817490,15200,124313,105793,817490,31950,157168,136504,817490,61200,209089,182854
2021-01-10,817490,3440,76616,60511,817490,15200,129943,109178,817490,31950,165026,145235,817490,61200,220160,195628
2021-01-11,817490,3440,76616,60511,817490,15200,129943,109178,817490,31950,165026,145235,817490,61200,220160,195628
2021-01-12,817490,3440,76616,60511,817490,15200,129943,109178,817490,31950,165026,145235,817490,61200,220160,195628
2021-01-13,1000000,3440,82142,61946,1000000,15200,140673,113834,1000000,31950,180417,153655,1000000,61200,249829,213648
2021-01-14,1000000,3440,84529,63359,1000000,15200,145639,119420,1000000,31950,186784,160730,1000000,61200,238259,209491
2021-01-15,1000000,3440,86996,64968,1000000,15200,149682,123969,1000000,31950,193523,168217,1000000,61200,246742,219280
