date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,1870000,17350,257616,221954,1870000,64090,415629,376863,1870000,73920,512636,476528,1870000,191600,729839,690394
2020-12-09,1870000,17350,260075,224687,1870000,64090,420886,382650,1870000,73920,520352,485057,1870000,283320,742950,700112
2020-12-10,1870000,17350,263004,227941,1870000,73920,427204,389004,1870000,73920,527249,492720,1870000,283320,752462,711087
2020-12-11,1870000,17350,266484,231808,1870000,73920,434197,396872,1870000,73920,536464,502959,1870000,283320,763529,723856
2020-12-12,1870000,17350,267417,232845,1870000,73920,437169,400214,1870000,73920,540763,507735,1870000,283320,769593,726447
2020-12-13,1870000,17350,268743,234318,1870000,73920,439642,402997,1870000,73920,541844,508937,1870000,283320,765008,724940
2020-12-14,1870000,17350,268743,234318,1870000,73920,439642,402997,1870000,73920,541844,508937,1870000,283320,765008,724940
2020-12-15,1870000,17350,268743,234318,1870000,73920,439642,402997,1870000,73920,541844,508937,1870000,283320,765008,724940
2020-12-16,1870000,17350,270011,235727,1870000,73920,442590,406314,1870000,73920,546903,513961,1870000,348480,769007,724940
2020-12-17,1870000,17350,273235,239309,1870000,73920,448330,412771,1870000,73920,555542,522785,1870000,348480,767500,723202
2020-12-18,1870000,17350,275566,241899,1870000,73920,451841,416721,1870000,131960,563219,529137,1870000,348480,770423,726575
2020-12-19,1870000,17350,277758,244335,1870000,73920,455726,421091,1870000,131960,568792,534780,1870000,348480,770578,726754
2020-12-20,1870000,17350,281517,248511,1870000,73920,462040,428195,1870000,131960,577725,543700,1870000,348480,766116,721605
2020-12-21,1870000,17350,281517,248511,1870000,73920,462040,428195,1870000,131960,577725,543700,1870000,348480,766116,721605
2020-12-22,1870000,17350,281517,248511,1870000,73920,462040,428195,1870000,131960,577725,543700,1870000,348480,766116,721605
2020-12-23,1870000,17350,284692,252039,1870000,73920,467711,434574,1870000,191600,586688,551182,1870000,348480,764888,720189
2020-12-24,1870000,17350,289298,256083,1870000,73920,477249,445006,1870000,191600,597734,563455,1870000,348480,743770,708899
2020-12-25,1870000,17350,293151,260364,1870000,73920,483505,452043,1870000,191600,605710,572262,1870000,348480,747500,713202
2020-12-26,1870000,17350,294168,261495,1870000,73920,484658,453341,1870000,191600,604712,571152,1870000,305930,724365,690251
2020-12-27,1870000,17350,294168,261495,1870000,73920,484658,453341,1870000,191600,604712,571152,1870000,305930,724365,690251
2020-12-28,1870000,17350,294168,261495,1870000,73920,484658,453341,1870000,191600,604712,571152,1870000,305930,724365,690251
2020-12-29,1870000,17350,294168,261495,1870000,73920,484658,453341,1870000,191600,604712,571152,1870000,305930,724365,690251
2020-12-30,1870000,17350,297001,264642,1870000,73920,489755,459075,1870000,191600,608303,575143,1870000,305930,719744,684920
2020-12-31,1870000,17350,300361,268376,1870000,73920,495457,465490,1870000,191600,614982,582198,1870000,305930,720111,685344
2021-01-01,1870000,17350,302824,271112,1870000,73920,499229,469733,1870000,191600,618688,586215,1870000,305930,710110,673804
2021-01-02,1870000,17350,304602,273008,1870000,73920,500986,471710,1870000,191600,618287,585769,1870000,305930,693756,654934
2021-01-03,1870000,17350,304602,273008,1870000,73920,500986,471710,1870000,191600,618287,585769,1870000,305930,693756,654934
