date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,18610000,986800,3311908,2813800,18610000,986800,3311908,2813800,18610000,986800,3311908,2813800,18610000,986800,3088227,2338462
2020-12-09,18610000,986800,3396436,2918040,18610000,986800,3396436,2918040,18610000,986800,3396436,2918040,18610000,986800,3171894,2435000
2020-12-10,18610000,986800,3532187,3075385,18610000,986800,3532187,3075385,18610000,986800,3532187,3075385,18610000,986800,3412894,2706539
2020-12-11,18610000,986800,3623845,3186038,18610000,986800,3623845,3186038,18610000,986800,3623845,3186038,18610000,986800,3594560,2916154
2020-12-12,18610000,986800,3644780,3217408,18610000,986800,3644780,3217408,18610000,986800,3644780,3217408,18610000,986800,3687560,3023462
2020-12-13,18610000,986800,3688964,3164340,18610000,986800,3688964,3164340,18610000,986800,3551947,3129260,18610000,986800,3860560,3218462
2020-12-14,18610000,986800,3688964,3164340,18610000,986800,3688964,3164340,18610000,986800,3551947,3129260,18610000,986800,3860560,3218462
2020-12-15,18610000,986800,3688964,3164340,18610000,986800,3688964,3164340,18610000,986800,3551947,3129260,18610000,986800,3860560,3218462
2020-12-16,18610000,986800,3741400,3234260,18610000,986800,3741400,3234260,18610000,986800,3542947,3119260,18610000,986800,4011894,3393077
2020-12-17,20290000,986800,4004077,3377273,20290000,986800,4004077,3377273,20290000,986800,3789114,3222593,20290000,986800,4644894,3776539
2020-12-18,20290000,986800,4041825,3431608,20290000,986800,4041825,3431608,20290000,986800,3831280,3269445,20290000,986800,4812894,3970385
2020-12-19,20290000,986800,4036567,3436316,20290000,986800,4036567,3436316,20290000,986800,3795447,3229630,20290000,986800,4889894,4059231
2020-12-20,20290000,986800,4097982,3516552,20290000,986800,4097982,3516552,20290000,986800,3849947,3290186,20290000,986800,5117227,4318077
2020-12-21,20290000,986800,4097982,3516552,20290000,986800,4097982,3516552,20290000,986800,3849947,3290186,20290000,986800,5117227,4318077
