date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,27630000,967870,3493766,3131791,27630000,1260000,3932889,3467500,11260000,1260000,3251834,2986297,11260000,1350000,4174334,3841154
2020-12-09,27630000,967870,3479766,3116235,27630000,1260000,3921556,3454750,11260000,1260000,3256667,2991667,11260000,1760000,4228334,3880770
2020-12-10,27630000,967870,3444989,3078951,27630000,1260000,3913445,3445625,11260000,1260000,3255834,2990741,11260000,1750000,4213000,3870385
2020-12-11,27630000,967870,3384766,3053642,27630000,1260000,3922223,3455500,11260000,1260000,3273500,3010371,11260000,1750000,4203000,3858847
2020-12-12,27630000,967870,3363933,3030494,27630000,1260000,3913223,3445375,11260000,1260000,3267000,3003149,11260000,1750000,4120667,3763847
2020-12-13,27630000,967870,3352711,3018025,11260000,1260000,3626667,3355125,11260000,1260000,3240000,2973149,10990000,1750000,3806667,3535000
2020-12-14,27630000,967870,3352711,3018025,11260000,1260000,3626667,3355125,11260000,1260000,3240000,2973149,10990000,1750000,3806667,3535000
2020-12-15,27630000,967870,3352711,3018025,11260000,1260000,3626667,3355125,11260000,1260000,3240000,2973149,10990000,1750000,3806667,3535000
2020-12-16,27630000,967870,3344489,3008889,11260000,1260000,3535223,3284625,11260000,1260000,3201834,2930741,10990000,1750000,3675000,3383077
2020-12-17,27630000,967870,3337100,3000680,11260000,1260000,3448556,3224875,11260000,1260000,3184500,2911482,10990000,1750000,3549334,3238077
2020-12-18,27630000,967870,3357933,3021976,11260000,1260000,3425000,3224875,11260000,1260000,3238000,2970926,10990000,1750000,3668000,3375000
2020-12-19,27630000,967870,3361655,3026112,11260000,1260000,3389223,3184625,11260000,1260000,3238834,2971852,10990000,1750000,3635334,3337308
2020-12-20,27630000,967870,3372989,3038704,11260000,1260000,3383112,3177750,11260000,1260000,3264667,3000556,10990000,1750000,3643334,3346539
2020-12-21,27630000,967870,3372989,3038704,11260000,1260000,3383112,3177750,11260000,1260000,3264667,3000556,10990000,1750000,3643334,3346539
2020-12-22,27630000,967870,3372989,3038704,11260000,1260000,3383112,3177750,11260000,1260000,3264667,3000556,10990000,1750000,3643334,3346539
2020-12-23,27630000,967870,3379489,3045926,11260000,1260000,3377556,3171500,11260000,1260000,3268667,3005000,10990000,1750000,3691000,3401539
2020-12-24,27630000,967870,3376322,3042408,11260000,1260000,3372445,3165750,11260000,1260000,3282667,3020556,7790000,1750000,3428334,3254231
2020-12-25,27630000,967870,3376878,3043025,11260000,1260000,3331112,3119875,11260000,1260000,3295667,3035000,6940000,1750000,3266000,3126154
2020-12-26,27630000,967870,3373655,3039445,11260000,1260000,3279667,3066125,11260000,1260000,3284500,3022593,6940000,1750000,3179667,3026539
2020-12-27,27630000,967870,3373655,3039445,11260000,1260000,3279667,3066125,11260000,1260000,3284500,3022593,6940000,1750000,3179667,3026539
2020-12-28,27630000,967870,3373655,3039445,11260000,1260000,3279667,3066125,11260000,1260000,3284500,3022593,6940000,1750000,3179667,3026539
2020-12-29,27630000,967870,3373655,3039445,11260000,1260000,3279667,3066125,11260000,1260000,3284500,3022593,6940000,1750000,3179667,3026539
2020-12-30,27630000,967870,3377322,3043519,11260000,1260000,3259556,3043500,11260000,1260000,3303167,3043334,6940000,1750000,3152000,2994616
2020-12-31,27630000,967870,3374378,3040247,11260000,1260000,3246334,3028625,11260000,1260000,3294334,3033519,6940000,1750000,3061000,2889616
2021-01-01,27630000,967870,3353711,3017284,11260000,1260000,3194889,2970875,11260000,1260000,3294000,3033149,6940000,1630000,2907000,2786154
2021-01-02,27630000,967870,3344655,3007223,11260000,1260000,3153334,2924125,11260000,1260000,3296834,3036297,6940000,1630000,2847667,2717693
2021-01-03,27630000,967870,3344655,3007223,11260000,1260000,3153334,2924125,11260000,1260000,3296834,3036297,6940000,1630000,2847667,2717693
2021-01-04,27630000,967870,3344655,3007223,11260000,1260000,3153334,2924125,11260000,1260000,3296834,3036297,6940000,1630000,2847667,2717693
2021-01-05,27630000,967870,3344655,3007223,11260000,1260000,3153334,2924125,11260000,1260000,3296834,3036297,6940000,1630000,2847667,2717693
2021-01-06,27630000,967870,3340822,3002963,11260000,1260000,3145334,2915125,11260000,1260000,3300834,3040741,6940000,1630000,2791334,2652693
2021-01-07,27630000,967870,3336544,2998210,11260000,1260000,3126445,2893875,11260000,1270000,3314500,3054260,6940000,1630000,2714334,2563847
2021-01-08,27630000,967870,3338433,3000309,11260000,1260000,3135556,2904125,11260000,1270000,3348167,3091667,6940000,1630000,2686667,2552308
2021-01-09,27630000,967870,3359433,3023642,11260000,1260000,3164445,2936625,11260000,1270000,3415834,3166852,6940000,1630000,2779667,2583462
2021-01-10,27630000,967870,3369378,3034692,11260000,1260000,3173000,2946250,11260000,1270000,3412167,3162778,6940000,1630000,2790000,2595385
2021-01-11,27630000,967870,3369378,3034692,11260000,1260000,3173000,2946250,11260000,1270000,3412167,3162778,6940000,1630000,2790000,2595385
2021-01-12,27630000,967870,3369378,3034692,11260000,1260000,3173000,2946250,11260000,1270000,3412167,3162778,6940000,1630000,2790000,2595385
2021-01-13,27630000,967870,3367211,3032284,11260000,1260000,3166667,2939125,11260000,1270000,3416667,3167778,6940000,1630000,2801667,2608847
2021-01-14,27630000,967870,3362266,3026791,11260000,1260000,3163223,2935250,11260000,1270000,3428167,3180556,6940000,1630000,2834667,2646924
2021-01-15,27630000,967870,3341822,3004075,11260000,1260000,3129112,2896875,11260000,1270000,3437334,3185741,6940000,1630000,2792000,2597693
2021-01-16,27630000,967870,3335322,2996852,11260000,1260000,3104334,2869000,11260000,1270000,3455334,3205741,6940000,1630000,2799667,2606539
2021-01-17,27630000,967870,3317322,2976852,11260000,1260000,3097667,2861500,11260000,1350000,3473000,3218704,6940000,1630000,2812667,2621539
2021-01-18,27630000,967870,3317322,2976852,11260000,1260000,3097667,2861500,11260000,1350000,3473000,3218704,6940000,1630000,2812667,2621539
2021-01-19,27630000,967870,3317322,2976852,11260000,1260000,3097667,2861500,11260000,1350000,3473000,3218704,6940000,1630000,2812667,2621539
2021-01-20,27630000,967870,3317322,2976852,11260000,1260000,3097667,2861500,11260000,1350000,3473000,3218704,6940000,1630000,2812667,2621539
2021-01-21,27630000,967870,3321655,2981667,11260000,1260000,3110556,2876000,11260000,1350000,3492834,3240741,6940000,1630000,2841334,2654616
2021-01-22,27630000,967870,3342878,3005247,11260000,1260000,3160445,2928500,11260000,1350000,3576000,3329445,6940000,1630000,2977667,2787308
2021-01-23,27630000,967870,3343711,3006173,11260000,1260000,3159445,2927375,11260000,1630000,3596667,3344815,6940000,1630000,2965000,2772693
2021-01-24,27630000,967870,3361044,3025433,11260000,1260000,3195445,2967875,11260000,1630000,3643834,3397223,6940000,1630000,3074667,2896154
2021-01-25,27630000,967870,3361044,3025433,11260000,1260000,3195445,2967875,11260000,1630000,3643834,3397223,6940000,1630000,3074667,2896154
2021-01-26,27630000,967870,3361044,3025433,11260000,1260000,3195445,2967875,11260000,1630000,3643834,3397223,6940000,1630000,3074667,2896154
2021-01-27,27630000,967870,3402378,3058210,11260000,1260000,3279778,3030250,11260000,1630000,3747667,3488889,9070000,1630000,3292334,3050000
2021-01-28,27630000,967870,3409489,3066112,11260000,1260000,3290778,3042625,11260000,1630000,3729500,3468704,9070000,1630000,3338334,3103077
2021-01-29,27630000,967870,3412378,3069321,11260000,1260000,3294334,3046625,10990000,1630000,3604834,3394445,9070000,1630000,3403000,3177693
2021-01-30,27630000,967870,3419155,3076852,11260000,1260000,3280889,3031500,10990000,1630000,3557000,3341297,9070000,1630000,3439000,3219231
2021-01-31,27630000,967870,3420933,3078828,11260000,1260000,3289778,3041500,10990000,1630000,3524834,3305556,9070000,1630000,3500334,3290000
2021-02-01,27630000,967870,3420933,3078828,11260000,1260000,3289778,3041500,10990000,1630000,3524834,3305556,9070000,1630000,3500334,3290000
2021-02-02,27630000,967870,3420933,3078828,11260000,1260000,3289778,3041500,10990000,1630000,3524834,3305556,9070000,1630000,3500334,3290000
2021-02-03,27630000,967870,3406933,3063272,11260000,1260000,3278445,3028750,10990000,1630000,3513667,3293149,9070000,1630000,3359334,3142693
2021-02-04,27630000,967870,3398433,3053828,11260000,1260000,3276112,3026125,10990000,1630000,3493000,3270186,9070000,1630000,3350667,3132693
2021-02-05,27630000,967870,3385322,3039260,11260000,1260000,3273667,3023375,10990000,1630000,3467500,3242223,9070000,1630000,3291667,3068077
2021-02-06,27630000,967870,3383433,3037161,11260000,1260000,3257889,3005625,10990000,1630000,3463667,3237963,9070000,1630000,3236334,3004231
2021-02-07,27630000,967870,3380211,3033581,11260000,1260000,3257334,3005000,9070000,1630000,3317500,3150556,9070000,1630000,3206667,2970000
2021-02-08,27630000,967870,3380211,3033581,11260000,1260000,3257334,3005000,9070000,1630000,3317500,3150556,9070000,1630000,3206667,2970000
2021-02-09,27630000,967870,3380211,3033581,11260000,1260000,3257334,3005000,9070000,1630000,3317500,3150556,9070000,1630000,3206667,2970000
2021-02-10,27630000,967870,3377544,3030618,11260000,1260000,3254112,3001375,9070000,1630000,3218500,3063704,9070000,1630000,3171000,2928847
2021-02-11,27630000,967870,3380378,3033766,11260000,1260000,3246778,2993125,9070000,1630000,3175500,3015926,9070000,1630000,3171334,2929231
2021-02-12,27630000,967870,3372155,3024630,11260000,1260000,3248445,2995000,9070000,1630000,3145500,2982593,9070000,1630000,3139000,2891924
2021-02-13,27630000,967870,3356711,3007470,11260000,1260000,3244000,2990000,9070000,1630000,3102167,2934445,9070000,1630000,3143334,2896924
2021-02-14,27630000,967870,3352266,3002531,11260000,1260000,3245445,2991625,9070000,1630000,3027667,2851667,9070000,1740000,3148334,2896924
2021-02-15,27630000,967870,3352266,3002531,11260000,1260000,3245445,2991625,9070000,1630000,3027667,2851667,9070000,1740000,3148334,2896924
2021-02-16,27630000,967870,3352266,3002531,11260000,1260000,3245445,2991625,9070000,1630000,3027667,2851667,9070000,1740000,3148334,2896924
2021-02-17,27630000,967870,3352266,3002531,11260000,1260000,3245445,2991625,9070000,1630000,3027667,2851667,9070000,1740000,3148334,2896924
2021-02-18,27630000,967870,3337878,2986544,11260000,1260000,3261667,3009875,9070000,1630000,3019500,2842593,9070000,1740000,3191334,2946539
2021-02-19,27630000,967870,3336100,2984568,11260000,1260000,3260223,3008250,9070000,1630000,2985167,2804445,9070000,1740000,3179000,2932308
2021-02-20,27630000,967870,3331711,2979692,11260000,1270000,3264223,3008500,9070000,1620000,2939000,2755556,9070000,1620000,3163667,2920770
2021-02-21,27630000,967870,3328489,2976112,11260000,1270000,3267889,3012375,9070000,1620000,2897000,2708889,9070000,1620000,3107334,2855770
2021-02-22,27630000,967870,3328489,2976112,11260000,1270000,3267889,3012375,9070000,1620000,2897000,2708889,9070000,1620000,3107334,2855770
2021-02-23,27630000,967870,3328489,2976112,11260000,1270000,3267889,3012375,9070000,1620000,2897000,2708889,9070000,1620000,3107334,2855770
2021-02-24,27630000,967870,3325711,2973025,11260000,1270000,3279000,3024875,9070000,1620000,2892500,2703889,9070000,1620000,3005334,2738077
2021-02-25,27630000,967870,3335322,2983704,11260000,1270000,3281556,3027750,9070000,1620000,2905167,2717963,9070000,1620000,3020334,2755385
2021-02-26,27630000,967870,3339266,2988087,11260000,1270000,3289889,3037125,9070000,1620000,2919000,2733334,9070000,1620000,3036334,2773847
2021-02-27,27630000,967870,3379544,3025124,11260000,1270000,3367445,3098125,9070000,1620000,3040334,2821852,9070000,1620000,3246000,2919616
2021-02-28,27630000,967870,3403878,3052161,11260000,1270000,3430667,3164875,9070000,1620000,3104667,2892778,9070000,1620000,3417334,3117308
2021-03-01,27630000,967870,3403878,3052161,11260000,1270000,3430667,3164875,9070000,1620000,3104667,2892778,9070000,1620000,3417334,3117308
2021-03-02,27630000,967870,3403878,3052161,11260000,1270000,3430667,3164875,9070000,1620000,3104667,2892778,9070000,1620000,3417334,3117308
2021-03-03,27630000,967870,3407711,3056420,11260000,1270000,3466667,3205375,9070000,1620000,3144500,2937038,9070000,1620000,3489334,3200385
2021-03-04,27630000,967870,3412822,3062099,11260000,1350000,3486445,3221750,9070000,1620000,3163000,2957593,9070000,1620000,3513334,3228077
2021-03-05,27630000,967870,3424600,3075186,11260000,1350000,3523334,3263250,9070000,1620000,3212834,3012963,9070000,1620000,3584334,3310000
2021-03-06,27630000,967870,3448766,3102038,11260000,1350000,3581112,3325750,9070000,1620000,3284500,3092593,9070000,1620000,3591334,3318077
2021-03-07,27630000,967870,3482655,3139692,11260000,1620000,3661445,3401125,9070000,1620000,3378000,3166667,9070000,1620000,3791000,3548462
2021-03-08,27630000,967870,3482655,3139692,11260000,1620000,3661445,3401125,9070000,1620000,3378000,3166667,9070000,1620000,3791000,3548462
2021-03-09,27630000,967870,3482655,3139692,11260000,1620000,3661445,3401125,9070000,1620000,3378000,3166667,9070000,1620000,3791000,3548462
2021-03-10,27630000,967870,3492766,3150926,11260000,1620000,3686112,3428875,9070000,1620000,3422667,3216297,9070000,1620000,3770667,3525000
2021-03-11,27630000,967870,3490266,3148149,11260000,1620000,3703112,3448000,9070000,1620000,3453167,3250186,9040000,1620000,3614000,3363077
2021-03-12,27630000,967870,3506544,3166235,11260000,1620000,3714334,3460625,9070000,1620000,3511167,3314630,9040000,1620000,3684000,3443847
2021-03-13,27630000,967870,3524266,3185926,10990000,1620000,3654112,3436250,9070000,1620000,3577834,3388704,9040000,1620000,3752667,3523077
2021-03-14,27630000,967870,3530433,3192778,10990000,1620000,3628445,3407375,9070000,1620000,3605167,3419075,9040000,1620000,3771334,3544616
2021-03-15,27630000,967870,3530433,3192778,10990000,1620000,3628445,3407375,9070000,1620000,3605167,3419075,9040000,1620000,3771334,3544616
2021-03-16,27630000,967870,3530433,3192778,10990000,1620000,3628445,3407375,9070000,1620000,3605167,3419075,9040000,1620000,3771334,3544616
2021-03-17,27630000,967870,3531544,3194013,10990000,1620000,3598778,3374000,9070000,1620000,3623500,3439445,9040000,1620000,3746667,3516154
2021-03-18,27630000,967870,3486822,3155988,10990000,1620000,3588112,3362000,9070000,1620000,3548167,3355741,9040000,1620000,3737000,3505000
2021-03-19,27630000,967870,3508544,3180124,10990000,1620000,3618667,3396375,9070000,1620000,3610334,3424815,9040000,1620000,3870000,3658462
2021-03-20,27630000,967870,3522489,3195618,10990000,1620000,3627889,3406750,9070000,1620000,3620167,3435741,9040000,1620000,3948667,3747693
2021-03-21,27630000,967870,3532266,3206482,10990000,1620000,3642667,3423375,9070000,1620000,3618500,3433889,9040000,1620000,4000667,3807693
2021-03-22,27630000,967870,3532266,3206482,10990000,1620000,3642667,3423375,9070000,1620000,3618500,3433889,9040000,1620000,4000667,3807693
2021-03-23,27630000,967870,3532266,3206482,10990000,1620000,3642667,3423375,9070000,1620000,3618500,3433889,9040000,1620000,4000667,3807693
2021-03-24,27630000,967870,3534655,3209136,9070000,1620000,3552223,3371875,9070000,1620000,3614167,3429075,9040000,1620000,4021667,3831924
2021-03-25,27630000,967870,3533044,3207346,9070000,1620000,3489112,3311500,9070000,1620000,3600667,3414075,9040000,1620000,4030334,3841924
2021-03-26,27630000,967870,3540155,3215247,9070000,1620000,3477778,3298750,9070000,1620000,3626834,3443149,9040000,1620000,4082334,3901924
2021-03-27,27630000,967870,3567711,3245865,9070000,1620000,3507223,3331875,9070000,1620000,3684834,3507593,9040000,1620000,4230667,4073077
2021-03-28,27630000,967870,3578766,3258149,9070000,1620000,3493667,3316625,9070000,1620000,3710000,3535556,9040000,1620000,4276667,4126154
2021-03-29,27630000,967870,3578766,3258149,9070000,1620000,3493667,3316625,9070000,1620000,3710000,3535556,9040000,1620000,4276667,4126154
2021-03-30,27630000,967870,3578766,3258149,9070000,1620000,3493667,3316625,9070000,1620000,3710000,3535556,9040000,1620000,4276667,4126154
2021-03-31,27630000,967870,3594544,3274754,9070000,1620000,3469112,3289000,9070000,1620000,3750167,3577408,9040000,1620000,4352000,4207308
2021-04-01,27630000,967870,3595822,3276173,9070000,1620000,3454778,3272875,9070000,1620000,3758334,3586482,9040000,1620000,4325334,4176539
2021-04-02,27630000,967870,3594878,3275124,9070000,1620000,3439556,3255750,9070000,1620000,3763667,3592408,9040000,1620000,4348334,4203077
2021-04-03,27630000,967870,3597044,3277531,9070000,1620000,3422112,3236125,9070000,1620000,3776000,3606112,9040000,1930000,4388334,4230385
2021-04-04,27630000,967870,3597044,3277531,9070000,1620000,3422112,3236125,9070000,1620000,3776000,3606112,9040000,1930000,4388334,4230385
2021-04-05,27630000,967870,3597044,3277531,9070000,1620000,3422112,3236125,9070000,1620000,3776000,3606112,9040000,1930000,4388334,4230385
2021-04-06,27630000,967870,3597044,3277531,9070000,1620000,3422112,3236125,9070000,1620000,3776000,3606112,9040000,1930000,4388334,4230385
2021-04-07,27630000,967870,3600655,3281544,9070000,1620000,3395000,3205625,9070000,1620000,3749167,3576297,9040000,2010000,4391000,4230385
2021-04-08,27630000,967870,3607711,3287408,9070000,1620000,3386000,3195500,9070000,1620000,3689167,3509630,9040000,2010000,4373000,4209616
2021-04-09,27630000,967870,3610600,3290618,9070000,1620000,3365778,3172750,9070000,1620000,3653667,3470186,9040000,2010000,4287000,4110770
2021-04-10,27630000,967870,3615822,3295618,9070000,1620000,3367778,3175000,9070000,1620000,3650834,3467038,9040000,2010000,4265334,4085770
2021-04-11,27630000,967870,3620211,3297593,9070000,1620000,3369000,3176125,9070000,1620000,3636167,3450741,8580000,1870000,4026334,3898462
2021-04-12,27630000,967870,3620211,3297593,9070000,1620000,3369000,3176125,9070000,1620000,3636167,3450741,8580000,1870000,4026334,3898462
2021-04-13,27630000,967870,3620211,3297593,9070000,1620000,3369000,3176125,9070000,1620000,3636167,3450741,8580000,1870000,4026334,3898462
2021-04-14,27630000,967870,3623933,3299877,9070000,1620000,3356334,3161875,9070000,1620000,3638500,3453334,8580000,1870000,3859667,3716154
2021-04-15,27630000,967870,3637711,3313272,9070000,1620000,3370334,3177625,9070000,1620000,3655667,3472408,8580000,1870000,3822000,3672693
2021-04-16,27630000,967870,3646433,3322902,9070000,1620000,3384112,3193125,9070000,1620000,3669834,3488149,8580000,1870000,3826334,3677693
2021-04-17,27630000,1260000,3654334,3327593,9070000,1620000,3382334,3191125,9070000,1620000,3652834,3469260,8580000,1870000,3721334,3556539
2021-04-18,27630000,1260000,3652723,3326173,9070000,1570000,3372556,3182750,9070000,1570000,3570000,3381112,8580000,1570000,3548667,3373077
2021-04-19,27630000,1260000,3652723,3326173,9070000,1570000,3372556,3182750,9070000,1570000,3570000,3381112,8580000,1570000,3548667,3373077
2021-04-20,27630000,1260000,3652723,3326173,9070000,1570000,3372556,3182750,9070000,1570000,3570000,3381112,8580000,1570000,3548667,3373077
2021-04-21,27630000,1260000,3645667,3318334,9070000,1570000,3369778,3179625,9070000,1570000,3572167,3383519,6740000,1570000,3353334,3230770
2021-04-22,27630000,1260000,3641945,3314198,9070000,1570000,3370445,3180000,9070000,1570000,3518334,3323704,6740000,1570000,3266000,3132308
2021-04-23,27630000,1260000,3639945,3313396,9070000,1390000,3357667,3170500,9040000,1390000,3390334,3226852,6740000,1390000,3166667,3033847
