date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,44850000,2790000,8189750,7125000,44850000,2790000,8189750,7125000,44850000,2790000,8189750,7125000,18410000,2790000,6155334,5615385
2020-10-26,44850000,2790000,8189750,7125000,44850000,2790000,8189750,7125000,44850000,2790000,8189750,7125000,18410000,2790000,6155334,5615385
2020-10-27,44850000,2790000,8189750,7125000,44850000,2790000,8189750,7125000,44850000,2790000,8189750,7125000,18410000,2790000,6155334,5615385
2020-10-28,44850000,2790000,8093903,6840572,44850000,2790000,8093903,6840572,44850000,2790000,8093903,6840572,18410000,2790000,6087334,5536924
2020-10-29,44850000,2790000,7986905,6750556,44850000,2790000,7986905,6750556,44850000,2790000,7986905,6750556,18410000,2790000,6063000,5508847
2020-10-30,44850000,2790000,7994319,6824211,44850000,2790000,7994319,6824211,44850000,2790000,7994319,6824211,18410000,2790000,6374667,5866924
2020-10-31,44850000,2790000,8024000,6888462,44850000,2790000,8024000,6888462,44850000,2790000,8024000,6888462,18410000,2930000,6592667,6100000
2020-11-01,44850000,2790000,8052609,6949750,44850000,2790000,8052609,6949750,44850000,2790000,8052609,6949750,18410000,2930000,6731000,6259616
2020-11-02,44850000,2790000,8052609,6949750,44850000,2790000,8052609,6949750,44850000,2790000,8052609,6949750,18410000,2930000,6731000,6259616
2020-11-03,44850000,2790000,8052609,6949750,44850000,2790000,8052609,6949750,44850000,2790000,8052609,6949750,18410000,2930000,6731000,6259616
2020-11-04,44850000,2790000,8305107,7229269,44850000,2790000,8305107,7229269,44850000,2790000,8305107,7229269,19920000,2930000,7257334,6661154
2020-11-05,44850000,2790000,8364792,7323096,44850000,2790000,8364792,7323096,44850000,2790000,8364792,7323096,19920000,2930000,7520667,6955385
2020-11-06,50720000,2790000,9229184,7616047,50720000,2790000,9229184,7616047,50720000,2790000,9229184,7616047,50720000,2930000,9078000,7509616
2020-11-07,89540000,2790000,10835400,7910228,89540000,2790000,10835400,7910228,89540000,2790000,10835400,7910228,89540000,2930000,11885000,8070770
2020-11-08,102190000,2790000,12626667,8731112,102190000,2790000,12626667,8731112,102190000,2790000,12626667,8731112,102190000,2930000,15107667,9809616
2020-11-09,102190000,2790000,12626667,8731112,102190000,2790000,12626667,8731112,102190000,2790000,12626667,8731112,102190000,2930000,15107667,9809616
2020-11-10,102190000,2790000,12626667,8731112,102190000,2790000,12626667,8731112,102190000,2790000,12626667,8731112,102190000,2930000,15107667,9809616
2020-11-10,102190000,2790000,13053270,9298044,102190000,2790000,13053270,9298044,102190000,2790000,13053270,9298044,102190000,2930000,16072667,10923077
2020-11-11,102190000,2790000,13053270,9298044,102190000,2790000,13053270,9298044,102190000,2790000,13053270,9298044,102190000,2930000,16072667,10923077
2020-11-12,102190000,2790000,13417170,9788298,102190000,2790000,13417170,9788298,102190000,2790000,13417170,9788298,102190000,2930000,16803667,11766539
2020-11-13,102190000,2790000,13629815,10103125,102190000,2790000,13629815,10103125,102190000,2790000,13629815,10103125,102190000,2930000,17299667,12338847
2020-11-14,166850000,2790000,16415637,10932041,166850000,2790000,16415637,10932041,166850000,2790000,16415637,10932041,166850000,2930000,22710667,15608847
2020-11-15,166850000,2790000,17771429,12504200,166850000,2790000,17771429,12504200,166850000,2790000,17771429,12504200,166850000,2930000,25303000,18600000
2020-11-16,166850000,2790000,17771429,12504200,166850000,2790000,17771429,12504200,166850000,2790000,17771429,12504200,166850000,2930000,25303000,18600000
2020-11-17,166850000,2790000,17771429,12504200,166850000,2790000,17771429,12504200,166850000,2790000,17771429,12504200,166850000,2930000,25303000,18600000
2020-11-18,166850000,2790000,18145615,13025687,166850000,2790000,18145615,13025687,166850000,2790000,18145615,13025687,166850000,2930000,26371334,19832693
2020-11-19,166850000,2790000,18328794,13328462,166850000,2790000,18328794,13328462,166850000,2790000,18328794,13328462,166850000,2930000,27165667,20749231
2020-11-20,166850000,2790000,18466102,13575661,166850000,2790000,18466102,13575661,166850000,2790000,18466102,13575661,166850000,2930000,27929334,21627308
2020-11-21,166850000,2790000,18743667,13974630,166850000,2790000,18743667,13974630,166850000,2790000,18743667,13974630,166850000,3600000,29002334,22831154
2020-11-22,166850000,2790000,19740164,13987736,166850000,2790000,19740164,13987736,166850000,2790000,19321667,14616852,166850000,3600000,31490000,25701539
2020-11-23,166850000,2790000,19740164,13987736,166850000,2790000,19740164,13987736,166850000,2790000,19321667,14616852,166850000,3600000,31490000,25701539
2020-11-24,166850000,2790000,19740164,13987736,166850000,2790000,19740164,13987736,166850000,2790000,19321667,14616852,166850000,3600000,31490000,25701539
