Date,Open,High,Low,Close,Volume,Change
2020-09-10,48000,62400,48000,62400,561750,
2020-09-11,81100,81100,81100,81100,5013124,0.2996794871794872
2020-09-14,86500,89100,73400,73800,20213705,-0.09001233045622692
2020-09-15,69900,71200,67100,67500,8309414,-0.08536585365853655
2020-09-16,66200,69500,65400,66300,5054826,-0.01777777777777778
2020-09-17,67000,67800,64600,64600,2373993,-0.02564102564102566
2020-09-18,65400,65700,62800,63400,1914512,-0.018575851393188847
2020-09-21,63400,63400,59000,59500,2796724,-0.061514195583596165
2020-09-22,59400,59400,55700,55800,2177965,-0.06218487394957983
2020-09-23,56500,58500,55700,55800,2348911,0.0
2020-09-24,54100,54700,51200,51200,1817508,-0.08243727598566308
2020-09-25,51800,52700,50000,50200,1460915,-0.01953125
2020-09-28,51000,52300,50300,51200,1175400,0.019920318725099584
2020-09-29,51900,59000,51600,56200,5938647,0.09765625
