date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,25850000,3850000,9010778,8581420,25850000,3850000,7997223,7544000,25850000,3850000,8272334,7762038,25850000,4240000,9484000,8818462
2020-12-09,25850000,3850000,8940056,8508025,25850000,3850000,7998112,7545000,25850000,3850000,8240667,7726852,25850000,4420000,9559000,8887693
2020-12-10,25850000,3850000,8874889,8437346,25850000,3850000,7909667,7474750,25850000,3850000,8264667,7753519,25850000,4420000,9514334,8836154
2020-12-11,25850000,3850000,8802500,8375309,25850000,3850000,7910556,7475750,25850000,4240000,8317000,7796112,25850000,4420000,9523667,8846924
2020-12-12,25850000,3850000,8748556,8315371,25850000,3850000,7892889,7455875,25850000,4240000,8316500,7795556,25850000,4420000,9350334,8646924
2020-12-13,25850000,3850000,8709056,8271482,25850000,3850000,7873445,7434000,25850000,4240000,8309500,7787778,25850000,4420000,9227000,8504616
2020-12-14,25850000,3850000,8709056,8271482,25850000,3850000,7873445,7434000,25850000,4240000,8309500,7787778,25850000,4420000,9227000,8504616
2020-12-15,25850000,3850000,8709056,8271482,25850000,3850000,7873445,7434000,25850000,4240000,8309500,7787778,25850000,4420000,9227000,8504616
2020-12-16,25850000,3850000,8695389,8256297,25850000,3850000,7884000,7445875,25850000,4240000,8278334,7753149,25850000,4420000,8897334,8124231
2020-12-17,25850000,3850000,8635000,8215000,25850000,3850000,7932667,7500625,25850000,4240000,8316334,7795371,25850000,4420000,8858334,8079231
2020-12-18,25850000,3850000,8613223,8190803,25850000,3850000,7948334,7518250,25850000,4240000,8378334,7864260,25850000,4420000,8877667,8101539
2020-12-19,25850000,3850000,8603612,8180124,25850000,3850000,7938889,7507625,25850000,4240000,8380667,7866852,20730000,4420000,8227667,7873847
