date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,5190000,412000,1294399,1249035,5190000,412000,1201649,1123738,5190000,531390,1261367,1163484,3230000,531390,1314010,1245372
2020-12-09,5190000,412000,1286677,1241319,5190000,412000,1204087,1126481,5190000,531390,1269183,1172078,3230000,531390,1329035,1259654
2020-12-10,5190000,412000,1281400,1235455,5190000,412000,1187310,1107981,5190000,531390,1272813,1176112,3230000,531390,1326955,1257253
2020-12-11,5190000,412000,1276622,1230146,5190000,412000,1190976,1112106,5190000,531390,1276980,1180741,3230000,531390,1342026,1274643
2020-12-12,5190000,412000,1270233,1223048,5190000,412000,1185087,1105481,5190000,531390,1278675,1182625,3230000,531390,1345956,1279177
2020-12-13,5190000,412000,1262024,1215099,5190000,412000,1171558,1090260,5190000,531390,1279095,1183091,3230000,531390,1350713,1284667
2020-12-14,5190000,412000,1262024,1215099,5190000,412000,1171558,1090260,5190000,531390,1279095,1183091,3230000,531390,1350713,1284667
2020-12-15,5190000,412000,1262024,1215099,5190000,412000,1171558,1090260,5190000,531390,1279095,1183091,3230000,531390,1350713,1284667
2020-12-16,5190000,412000,1258246,1210901,5190000,412000,1159558,1080635,5190000,531390,1279595,1183647,3230000,531390,1353713,1288128
2020-12-17,5190000,412000,1250579,1204729,5190000,412000,1159224,1080260,5190000,531390,1276261,1179943,3230000,531390,1363217,1299094
2020-12-18,5190000,412000,1243074,1196637,5190000,412000,1160229,1081390,5190000,531390,1280303,1184434,3230000,531390,1360792,1296296
2020-12-19,5190000,412000,1238741,1191822,5190000,412000,1151340,1071390,3230000,531390,1212637,1161471,3230000,531390,1343125,1275911
2020-12-20,5190000,412000,1242630,1194661,5190000,412000,1166673,1084765,3230000,531390,1213970,1161471,2610000,531390,1317125,1275911
2020-12-21,5190000,412000,1242630,1194661,5190000,412000,1166673,1084765,3230000,531390,1213970,1161471,2610000,531390,1317125,1275911
2020-12-22,5190000,412000,1242630,1194661,5190000,412000,1166673,1084765,3230000,531390,1213970,1161471,2610000,531390,1317125,1275911
2020-12-23,5190000,412000,1239574,1191266,5190000,412000,1168562,1086890,3230000,531390,1213637,1161101,2450000,531390,1269458,1238988
2020-12-24,5190000,412000,1235908,1187192,5190000,412000,1173582,1092538,3230000,531390,1211303,1158508,2450000,531390,1241125,1212834
2020-12-25,5190000,412000,1235963,1187254,5190000,412000,1185977,1106482,3230000,531390,1219137,1167212,2450000,531390,1257458,1231680
2020-12-26,5190000,412000,1228782,1180226,5190000,412000,1185199,1106482,3230000,487440,1204427,1153988,2450000,487440,1244309,1226555
2020-12-27,5190000,412000,1228782,1180226,5190000,412000,1185199,1106482,3230000,487440,1204427,1153988,2450000,487440,1244309,1226555
2020-12-28,5190000,412000,1228782,1180226,5190000,412000,1185199,1106482,3230000,487440,1204427,1153988,2450000,487440,1244309,1226555
2020-12-29,5190000,412000,1228782,1180226,5190000,412000,1185199,1106482,3230000,487440,1204427,1153988,2450000,487440,1244309,1226555
2020-12-30,5190000,412000,1226282,1177448,5190000,412000,1190413,1112347,3230000,487440,1202094,1151396,2450000,487440,1257335,1241585
2020-12-31,5190000,412000,1226504,1177695,5190000,412000,1192316,1114488,3230000,487440,1200594,1149729,2450000,487440,1260335,1245047
2021-01-01,5190000,412000,1224838,1175843,5190000,412000,1194036,1116424,3230000,487440,1191261,1139359,2450000,487440,1244001,1226200
2021-01-02,5190000,412000,1220167,1170653,5190000,412000,1195262,1117802,3230000,487440,1181247,1128233,2450000,487440,1206641,1183092
2021-01-03,5190000,412000,1220167,1170653,5190000,412000,1195262,1117802,3230000,487440,1181247,1128233,2450000,487440,1206641,1183092
2021-01-04,5190000,412000,1220167,1170653,5190000,412000,1195262,1117802,3230000,487440,1181247,1128233,2450000,487440,1206641,1183092
2021-01-05,5190000,412000,1220167,1170653,5190000,412000,1195262,1117802,3230000,487440,1181247,1128233,2450000,487440,1206641,1183092
2021-01-06,5190000,412000,1230667,1178060,5190000,412000,1222849,1139466,3230000,487440,1211580,1153603,2900000,487440,1274272,1225359
2021-01-07,5190000,412000,1238055,1184850,5190000,412000,1244662,1162073,3230000,487440,1236747,1181566,2900000,487440,1322939,1275744
2021-01-08,5190000,412000,1248889,1191085,5190000,412000,1276646,1186524,3330000,487440,1279449,1215679,3330000,487440,1408983,1346949
2021-01-09,5190000,412000,1261417,1201672,5190000,487440,1304735,1211011,3330000,487440,1315146,1254601,3330000,487440,1459983,1404256
2021-01-10,5190000,412000,1266103,1206879,5190000,487440,1315196,1222780,3330000,487440,1328413,1269343,3330000,487440,1467650,1413102
2021-01-11,5190000,412000,1266103,1206879,5190000,487440,1315196,1222780,3330000,487440,1328413,1269343,3330000,487440,1467650,1413102
2021-01-12,5190000,412000,1266103,1206879,5190000,487440,1315196,1222780,3330000,487440,1328413,1269343,3330000,487440,1467650,1413102
2021-01-13,5190000,412000,1276715,1215644,5190000,487440,1330529,1239530,3330000,487440,1359580,1303973,3330000,487440,1527983,1482718
2021-01-14,5190000,412000,1281843,1221343,5190000,487440,1334418,1243905,3330000,487440,1371859,1317616,3330000,487440,1565603,1516595
2021-01-15,5190000,412000,1284010,1223751,5190000,487440,1331640,1240780,3330000,487440,1385593,1332876,3330000,487440,1578270,1531211
2021-01-16,5190000,412000,1281732,1221220,5190000,487440,1330973,1240030,3330000,487440,1392236,1339742,3330000,487440,1555603,1505057
2021-01-17,5190000,412000,1277232,1216220,5190000,487440,1335020,1244583,3330000,487440,1400685,1349130,3330000,487440,1542937,1490442
2021-01-18,5190000,412000,1277232,1216220,5190000,487440,1335020,1244583,3330000,487440,1400685,1349130,3330000,487440,1542937,1490442
2021-01-19,5190000,412000,1277232,1216220,5190000,487440,1335020,1244583,3330000,487440,1400685,1349130,3330000,487440,1542937,1490442
2021-01-20,5190000,412000,1277232,1216220,5190000,487440,1335020,1244583,3330000,487440,1400685,1349130,3330000,487440,1542937,1490442
2021-01-21,5190000,412000,1275010,1213751,5190000,487440,1344754,1255384,3330000,487440,1412794,1362585,3330000,487440,1527937,1473134
2021-01-22,5190000,412000,1275677,1214491,5190000,487440,1352890,1264536,3330000,487440,1424973,1376117,3330000,487440,1535937,1482365
2021-01-23,5190000,412000,1276843,1215788,5190000,487440,1360323,1272829,3330000,487440,1435819,1386697,3330000,487440,1542603,1490057
2021-01-24,5190000,412000,1277621,1216652,5190000,487440,1375409,1289801,3330000,487440,1453778,1406652,3330000,487440,1580602,1533902
2021-01-25,5190000,412000,1277621,1216652,5190000,487440,1375409,1289801,3330000,487440,1453778,1406652,3330000,487440,1580602,1533902
2021-01-26,5190000,412000,1277621,1216652,5190000,487440,1375409,1289801,3330000,487440,1453778,1406652,3330000,487440,1580602,1533902
2021-01-27,5190000,412000,1272955,1211467,5190000,487440,1377409,1292051,3330000,487440,1460147,1413729,3330000,487440,1578269,1531209
2021-01-28,5190000,412000,1272399,1210849,5190000,487440,1381984,1297198,3330000,487440,1467279,1421653,3330000,487440,1588602,1543132
2021-01-29,5190000,412000,1280399,1216899,5190000,487440,1403905,1321858,3330000,487440,1502119,1460363,3330000,487440,1653524,1618043
2021-01-30,5190000,412000,1279455,1215849,5190000,487440,1408016,1326483,3330000,487440,1509285,1468326,3330000,487440,1664858,1631120
2021-01-31,5190000,412000,1287010,1220973,5190000,487440,1427127,1345608,3330000,487440,1546037,1505643,3330000,487440,1728858,1697658
2021-02-01,5190000,412000,1287010,1220973,5190000,487440,1427127,1345608,3330000,487440,1546037,1505643,3330000,487440,1728858,1697658
2021-02-02,5190000,412000,1287010,1220973,5190000,487440,1427127,1345608,3330000,487440,1546037,1505643,3330000,487440,1728858,1697658
2021-02-03,5190000,412000,1286455,1220355,5190000,487440,1433498,1352618,3330000,487440,1550340,1510424,3330000,487440,1739888,1710385
2021-02-04,5190000,412000,1285010,1218751,3330000,487440,1388832,1330493,3330000,487440,1542173,1501350,3330000,487440,1741221,1711924
2021-02-05,5190000,412000,1290455,1224800,3330000,487440,1387720,1329243,3330000,487440,1526173,1488942,3330000,487440,1735221,1705000
2021-02-06,8390000,412000,1329677,1232701,8390000,487440,1467609,1350993,8390000,487440,1622506,1495053,8390000,487440,1975554,1780000
2021-02-07,8390000,412000,1348066,1240479,8390000,487440,1506720,1369868,8390000,487440,1669340,1513387,8390000,487440,2097554,1858462
2021-02-08,8390000,412000,1348066,1240479,8390000,487440,1506720,1369868,8390000,487440,1669340,1513387,8390000,487440,2097554,1858462
2021-02-09,8390000,412000,1348066,1240479,8390000,487440,1506720,1369868,8390000,487440,1669340,1513387,8390000,487440,2097554,1858462
2021-02-10,8390000,412000,1350566,1243257,8390000,487440,1513720,1377743,8390000,487440,1680173,1525424,8390000,487440,2102888,1864616
2021-02-11,8390000,412000,1353647,1246680,8390000,487440,1513832,1377868,8390000,487440,1688474,1534648,8390000,779180,2132640,1877693
2021-02-12,8390000,412000,1347591,1239952,8390000,487440,1513054,1376993,8390000,487440,1696154,1543180,8390000,779180,2134973,1880385
2021-02-13,8390000,412000,1346202,1238408,8390000,487440,1514609,1378743,8390000,487440,1701487,1549106,8390000,779180,2142640,1889231
2021-02-14,8390000,412000,1346647,1238902,8390000,487440,1513387,1377368,8390000,487440,1700821,1548365,8390000,779180,2157640,1906539
2021-02-15,8390000,412000,1346647,1238902,8390000,487440,1513387,1377368,8390000,487440,1700821,1548365,8390000,779180,2157640,1906539
2021-02-16,8390000,412000,1346647,1238902,8390000,487440,1513387,1377368,8390000,487440,1700821,1548365,8390000,779180,2157640,1906539
2021-02-17,8390000,412000,1346647,1238902,8390000,487440,1513387,1377368,8390000,487440,1700821,1548365,8390000,779180,2157640,1906539
2021-02-18,8390000,412000,1347258,1239581,8390000,487440,1516943,1381368,8390000,487440,1697487,1544662,8390000,1040000,2188334,1926924
2021-02-19,8390000,412000,1353258,1246248,8390000,487440,1528720,1394618,8390000,487440,1718636,1568161,8390000,1040000,2163000,1897693
2021-02-20,8390000,412000,1368813,1256371,8390000,487440,1561832,1420118,8390000,487440,1767470,1608716,8390000,1040000,2212000,1954231
2021-02-21,8390000,412000,1380091,1264087,8390000,487440,1594633,1450894,8390000,487440,1816992,1663176,8390000,1040000,2225000,1969231
2021-02-22,8390000,412000,1380091,1264087,8390000,487440,1594633,1450894,8390000,487440,1816992,1663176,8390000,1040000,2225000,1969231
2021-02-23,8390000,412000,1380091,1264087,8390000,487440,1594633,1450894,8390000,487440,1816992,1663176,8390000,1040000,2225000,1969231
2021-02-24,8390000,412000,1384535,1269026,8390000,487440,1611208,1469541,8390000,487440,1831658,1679472,8390000,1040000,2203334,1944231
2021-02-25,8390000,412000,1386535,1271248,8390000,487440,1627276,1487617,8390000,487440,1846325,1695768,8390000,1040000,2225000,1969231
2021-02-26,8390000,412000,1389369,1274396,8390000,487440,1635498,1496867,8390000,487440,1857658,1708361,8390000,1040000,2187334,1925770
2021-02-27,8390000,412000,1391355,1276603,8390000,487440,1639906,1501826,8390000,487440,1870802,1716323,8390000,1040000,2176000,1912693
2021-02-28,8390000,412000,1395534,1281246,8390000,487440,1651618,1514835,8390000,487440,1880969,1727620,8390000,1040000,2183667,1921539
2021-03-01,8390000,412000,1395534,1281246,8390000,487440,1651618,1514835,8390000,487440,1880969,1727620,8390000,1040000,2183667,1921539
