date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,61060000,6230000,17684000,16628025,61060000,6230000,16496000,15043875,61060000,6230000,17741500,16187963,61060000,6230000,23742000,22211154
2020-12-09,61060000,6230000,17622000,16559136,61060000,6230000,16544445,15087750,61060000,6230000,17774500,16224630,61060000,9350000,23914000,22280770
2020-12-10,61060000,6230000,17558723,16488828,61060000,6230000,16512223,15051500,61060000,6230000,17800000,16252963,61060000,9410000,23916000,22280770
2020-12-11,61060000,6230000,17495389,16418951,61060000,6230000,16475334,15010000,61060000,6230000,17798667,16251482,61060000,8210001,23750334,22142308
2020-12-12,61060000,6230000,17465945,16386235,61060000,6230000,16465778,14999250,61060000,6230000,17807667,16261482,61060000,8210001,23633334,22007308
2020-12-13,61060000,6230000,17432667,16354321,61060000,6230000,16428667,14963625,61060000,6230000,17797167,16255186,61060000,7390000,23507334,21939616
2020-12-14,61060000,6230000,17432667,16354321,61060000,6230000,16428667,14963625,61060000,6230000,17797167,16255186,61060000,7390000,23507334,21939616
2020-12-15,61060000,6230000,17432667,16354321,61060000,6230000,16428667,14963625,61060000,6230000,17797167,16255186,61060000,7390000,23507334,21939616
2020-12-16,61060000,6230000,17465945,16391297,61060000,6230000,16516223,15062125,61060000,6230000,17905334,16375371,61060000,7390000,23618000,22067308
2020-12-17,61060000,6230000,17451445,16375186,61060000,6230000,16448889,14986375,61060000,6230000,18028500,16512223,61060000,7390000,23771667,22244616
2020-12-18,61060000,6230000,17439389,16361791,61060000,6230000,16472889,15013375,61060000,6230000,18130334,16625371,61060000,7390000,22360000,20932693
2020-12-19,61060000,6230000,17444112,16367038,61060000,6230000,16512667,15058125,61060000,6230000,18245500,16747223,61060000,7390000,21875667,20373847
2020-12-20,61060000,6230000,17477389,16404013,61060000,6230000,16561000,15112500,61060000,6230000,18344000,16856667,61060000,7390000,20728334,19365000
2020-12-21,61060000,6230000,17477389,16404013,61060000,6230000,16561000,15112500,61060000,6230000,18344000,16856667,61060000,7390000,20728334,19365000
2020-12-22,61060000,6230000,17477389,16404013,61060000,6230000,16561000,15112500,61060000,6230000,18344000,16856667,61060000,7390000,20728334,19365000
2020-12-23,61060000,6230000,17462889,16387902,61060000,6230000,16581556,15135625,61060000,6230000,18330167,16841297,61060000,7390000,20241000,18802693
2020-12-24,61060000,6230000,17443556,16366420,61060000,6230000,16621223,15180250,61060000,6230000,18375000,16891112,61060000,7390000,19870667,18375385
