date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,9760000,366380,1786020,1662413,9760000,681220,2224582,2068737,9760000,997130,2598786,2424815,3680000,997130,2082905,2043077
2020-12-09,9760000,366380,1787409,1663956,9760000,681220,2231582,2076612,9760000,997130,2583953,2408334,3680000,997130,2087905,2048847
2020-12-10,9760000,366380,1789631,1666426,9760000,681220,2241533,2087807,9760000,997130,2581286,2405371,3630000,997130,2028238,1984231
2020-12-11,9760000,366380,1792465,1669574,9760000,681220,2245866,2092682,9760000,997130,2579786,2403704,3630000,997130,1979238,1927693
2020-12-12,9760000,366380,1793687,1670932,9760000,681220,2238644,2084557,9760000,997130,2579286,2403149,3630000,997130,1903238,1851924
2020-12-13,9760000,366380,1795520,1672969,9760000,681220,2237644,2083432,9760000,997130,2585286,2409630,3630000,997130,1879571,1824616
2020-12-14,9760000,366380,1795520,1672969,9760000,681220,2237644,2083432,9760000,997130,2585286,2409630,3630000,997130,1879571,1824616
2020-12-15,9760000,366380,1795520,1672969,9760000,681220,2237644,2083432,9760000,997130,2585286,2409630,3630000,997130,1879571,1824616
2020-12-16,9760000,366380,1803798,1682166,9760000,681220,2254088,2101932,9760000,997130,2597786,2423519,3630000,997130,1930905,1883847
2020-12-17,9760000,366380,1826909,1697598,9760000,681220,2305228,2145465,9760000,997130,2672286,2500371,5600000,997130,2045238,1925770
2020-12-18,9760000,366380,1834409,1705932,9760000,681220,2312784,2153965,9760000,997130,2690453,2520556,5600000,997130,2097905,1986539
2020-12-19,9760000,366380,1850915,1724272,9760000,681220,2348622,2191000,9760000,997130,2719953,2553334,5600000,997130,2121238,2000770
2020-12-20,9760000,366380,1875137,1738655,9760000,681220,2405636,2236125,9760000,997130,2792953,2627223,5990000,997130,2224571,2041924
2020-12-21,9760000,366380,1875137,1738655,9760000,681220,2405636,2236125,9760000,997130,2792953,2627223,5990000,997130,2224571,2041924
2020-12-22,9760000,366380,1875137,1738655,9760000,681220,2405636,2236125,9760000,997130,2792953,2627223,5990000,997130,2224571,2041924
2020-12-23,9760000,366380,1885989,1750712,9760000,681220,2424969,2257875,9760000,997130,2821119,2658519,5990000,997130,2199571,2013077
2020-12-24,9760000,366380,1895346,1761108,9760000,681220,2440969,2275875,9760000,997130,2842953,2682778,5990000,997130,2214238,2030000
