date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,5360000,297900,837345,756897,5360000,297900,781317,671589,5360000,297900,855883,745719,5360000,361460,1126803,954637
2020-12-09,5360000,297900,834141,753337,5360000,297900,779809,669893,5360000,297900,858139,748227,5360000,482070,1139529,963614
2020-12-10,5360000,297900,831356,750242,5360000,297900,748863,655579,5360000,297900,856780,746716,5360000,464860,1129694,953996
2020-12-11,5360000,297900,829340,748003,5360000,297900,747367,653896,5360000,297900,856657,746579,5360000,464860,1122746,945979
2020-12-12,5360000,297900,828700,747291,5360000,297900,751665,658731,5360000,297900,861422,751874,5360000,464860,1125796,949498
2020-12-13,5360000,297900,824992,743172,5360000,297900,751688,658756,5360000,297900,855503,745297,5360000,462600,1120309,943915
2020-12-14,5360000,297900,824992,743172,5360000,297900,751688,658756,5360000,297900,855503,745297,5360000,462600,1120309,943915
2020-12-15,5360000,297900,824992,743172,5360000,297900,751688,658756,5360000,297900,855503,745297,5360000,462600,1120309,943915
2020-12-16,5360000,297900,822630,740547,5360000,297900,748773,655477,5360000,297900,840084,728165,5360000,462600,1091138,910257
2020-12-17,5360000,297900,821696,739510,5360000,297900,751675,658742,5360000,297900,833711,721084,5360000,462600,1099995,920477
2020-12-18,5360000,297900,820879,738602,5360000,297900,755083,662576,5360000,297900,833907,721301,5360000,462600,1100981,921614
