date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-30,45790000,4880000,14889278,14333766,32950001,4880000,11385889,10942250,32950001,4880000,11755000,11297038,18050000,4880000,9715000,9593462
2020-10-31,45790000,4880000,14889334,14333828,32950001,4880000,11356556,10909250,32950001,4880000,11728500,11267593,18050000,4880000,9701667,9578077
2020-11-01,45790000,4880000,14874445,14317284,32950001,4880000,11371889,10926500,32950001,4880000,11646500,11176482,18050000,4880000,9701667,9578077
2020-11-02,45790000,4880000,14874445,14317284,32950001,4880000,11371889,10926500,32950001,4880000,11646500,11176482,18050000,4880000,9701667,9578077
2020-11-03,45790000,4880000,14874445,14317284,32950001,4880000,11371889,10926500,32950001,4880000,11646500,11176482,18050000,4880000,9701667,9578077
2020-11-04,45790000,4880000,14864778,14306544,32950001,4880000,11333223,10883000,32950001,4880000,11583834,11106852,18050000,4880000,9760000,9645385
2020-11-05,45790000,4880000,14869000,14311235,32950001,4880000,11401112,10959375,32950001,4880000,11652500,11183149,18050000,4880000,9905667,9768462
2020-11-06,45790000,4880000,14941778,14392099,32950001,4880000,11552112,11097500,32950001,4880000,11939500,11464445,24150000,4880000,10305000,9851539
2020-11-07,45790000,4880000,14955278,14407099,32950001,4880000,11666112,11225750,32950001,4880000,12093500,11635556,24150000,4880000,10444000,10011924
2020-11-08,45790000,4880000,14926667,14375309,32950001,4880000,11656556,11215000,32950001,4880000,12082834,11623704,24150000,4880000,10490000,10065000
2020-11-09,45790000,4880000,14926667,14375309,32950001,4880000,11656556,11215000,32950001,4880000,12082834,11623704,24150000,4880000,10490000,10065000
