date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,1900000,150610,451455,424355,1900000,150610,427964,391074,1900000,150610,416136,379153,1120000,150610,426849,399387
2020-12-09,1900000,150610,447838,420408,1900000,150610,427499,390608,1900000,150610,411064,373518,1120000,150610,425018,397273
2020-12-10,1900000,150610,444224,416726,1900000,150610,424413,387676,1900000,150610,409349,372128,1120000,150610,412925,384389
2020-12-11,1900000,150610,441723,413947,1900000,150610,425606,389017,1900000,150610,408351,371019,1120000,150610,421019,393729
2020-12-12,1900000,150610,434928,409367,1900000,150610,422781,386203,1900000,150610,405272,367697,1120000,150610,410902,382055
2020-12-13,1900000,150610,433344,407771,1900000,150610,421612,384915,1900000,150610,398017,359636,1120000,150610,405906,376291
2020-12-14,1900000,150610,433344,407771,1900000,150610,421612,384915,1900000,150610,398017,359636,1120000,150610,405906,376291
2020-12-15,1900000,150610,433344,407771,1900000,150610,421612,384915,1900000,150610,398017,359636,1120000,150610,405906,376291
2020-12-16,1900000,150610,431098,405285,1900000,150610,420961,384183,1900000,150610,395660,357017,1120000,150610,395460,364237
2020-12-17,1900000,150610,430190,404276,1900000,150610,422983,386457,1900000,150610,394255,355455,1120000,150610,394935,363632
2020-12-18,1900000,150610,428185,402204,1900000,150610,422056,385476,1900000,150610,393266,354357,1120000,150610,384805,351944
2020-12-19,1900000,150610,427459,401397,1900000,150610,421829,385220,1120000,150610,366383,345578,1120000,150610,374773,340368
2020-12-20,1900000,150610,426254,400142,1900000,150610,421022,384312,1120000,150610,358812,337166,1120000,150610,363827,327739
2020-12-21,1900000,150610,426254,400142,1900000,150610,421022,384312,1120000,150610,358812,337166,1120000,150610,363827,327739
2020-12-22,1900000,150610,426254,400142,1900000,150610,421022,384312,1120000,150610,358812,337166,1120000,150610,363827,327739
2020-12-23,1900000,150610,423661,397260,1900000,150610,420006,383169,1120000,150610,354466,332337,1120000,150610,345373,306445
2020-12-24,1900000,112700,418065,392711,1900000,112700,418203,381905,1120000,112700,352518,331180,1120000,112700,332321,292938
2020-12-25,1900000,112700,416779,391283,1900000,112700,418186,381887,1120000,112700,353273,332018,1120000,112700,308190,276000
2020-12-26,1900000,87250,411946,387549,1900000,87250,416331,380864,1120000,87250,350313,329950,1120000,87250,302602,271989
2020-12-27,1900000,87250,411946,387549,1900000,87250,416331,380864,1120000,87250,350313,329950,1120000,87250,302602,271989
2020-12-28,1900000,87250,411946,387549,1900000,87250,416331,380864,1120000,87250,350313,329950,1120000,87250,302602,271989
2020-12-29,1900000,87250,411946,387549,1900000,87250,416331,380864,1120000,87250,350313,329950,1120000,87250,302602,271989
2020-12-30,1900000,87250,411413,386957,1900000,87250,417612,382305,1120000,87250,352179,332023,1120000,87250,314489,285704
2020-12-31,1900000,87250,407430,383808,1900000,87250,418052,382801,1120000,87250,350303,329938,1120000,87250,317087,288702
2021-01-01,1900000,87250,406103,382388,1900000,87250,416621,381190,1120000,87250,347083,326361,686410,87250,285482,271033
2021-01-02,1900000,87250,403872,379910,1900000,87250,411935,375919,1120000,87250,345718,324844,686410,87250,284176,269526
2021-01-03,1900000,87250,403872,379910,1900000,87250,411935,375919,1120000,87250,345718,324844,686410,87250,284176,269526
2021-01-04,1900000,87250,403872,379910,1900000,87250,411935,375919,1120000,87250,345718,324844,686410,87250,284176,269526
2021-01-05,1900000,87250,403872,379910,1900000,87250,411935,375919,1120000,87250,345718,324844,686410,87250,284176,269526
2021-01-06,1900000,87250,400917,377730,1900000,87250,412982,377097,1120000,87250,347991,327369,686410,87250,287763,273665
2021-01-07,1900000,87250,399462,376113,1900000,87250,411182,375072,1120000,87250,348912,328393,686410,87250,288448,274455
2021-01-08,1900000,87250,398413,374949,1900000,87250,407626,371071,1120000,87250,350987,330698,686410,87250,292795,279471
2021-01-09,1900000,87250,396861,373224,1900000,87250,407159,370546,1120000,87250,350442,330092,686410,87250,279901,267165
2021-01-10,1900000,87250,394192,370314,1900000,87250,396267,362503,1120000,87250,347374,326683,564370,87250,266677,259729
2021-01-11,1900000,87250,394192,370314,1900000,87250,396267,362503,1120000,87250,347374,326683,564370,87250,266677,259729
2021-01-12,1900000,87250,394192,370314,1900000,87250,396267,362503,1120000,87250,347374,326683,564370,87250,266677,259729
2021-01-13,1900000,87250,392324,368238,1900000,87250,393496,359385,1120000,87250,343242,322092,564370,87250,266687,259740
2021-01-14,1900000,87250,391545,367372,1900000,87250,390432,355939,1120000,87250,342433,321194,564370,87250,271907,265763
2021-01-15,1900000,87250,390319,366010,1900000,87250,382065,348387,1120000,87250,341318,319955,564370,87250,266648,259695
2021-01-16,1900000,87250,389541,365146,1900000,87250,373529,342645,1120000,87250,340031,318525,564370,87250,261795,254096
2021-01-17,1900000,87250,388600,364101,1900000,87250,368897,338658,1120000,87250,340592,319148,564370,87250,262336,254720
2021-01-18,1900000,87250,388600,364101,1900000,87250,368897,338658,1120000,87250,340592,319148,564370,87250,262336,254720
2021-01-19,1900000,87250,388600,364101,1900000,87250,368897,338658,1120000,87250,340592,319148,564370,87250,262336,254720
2021-01-20,1900000,87250,388600,364101,1900000,87250,368897,338658,1120000,87250,340592,319148,564370,87250,262336,254720
2021-01-21,1900000,87250,387422,362792,1900000,87250,365386,334708,1120000,87250,341557,320220,564370,87250,263662,256250
2021-01-22,1900000,87250,387320,362678,1900000,87250,363372,332443,1120000,87250,342348,321099,564370,87250,257846,249539
2021-01-23,1900000,87250,387586,362974,1900000,87250,362235,331163,1120000,87250,344797,323820,564370,87250,264576,257305
2021-01-24,1900000,87250,386713,362004,1900000,87250,361444,330273,1120000,87250,339278,317689,564370,87250,265632,258523
2021-01-25,1900000,87250,386713,362004,1900000,87250,361444,330273,1120000,87250,339278,317689,564370,87250,265632,258523
2021-01-26,1900000,87250,386713,362004,1900000,87250,361444,330273,1120000,87250,339278,317689,564370,87250,265632,258523
