date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,62560000,7500000,22009334,21077223,55390000,7500000,18525334,17703000,55390000,7500000,18504167,17695741,35890000,7500000,17236000,16648847
2020-12-09,62560000,7500000,21854723,20939383,55390000,7500000,18523334,17700750,55390000,7500000,18489000,17678889,35890000,7500000,17278667,16698077
2020-12-10,62560000,7500000,21680389,20790494,55390000,7500000,18487445,17660375,55390000,7500000,18280500,17447223,35890000,7500000,17363000,16795385
2020-12-11,62560000,7500000,21481834,20669815,55390000,7500000,18523112,17700500,55390000,7500000,18345334,17519260,35890000,7500000,17676000,17061539
2020-12-12,56070000,7500000,21220945,20534939,55390000,7500000,18522000,17699250,55390000,7500000,18212834,17372038,35890000,7500000,17680667,17066924
2020-12-13,56070000,7500000,21084945,20402778,55390000,7500000,18544778,17724875,55390000,7500000,18125334,17274815,35890000,7500000,17777000,17178077
2020-12-14,56070000,7500000,21084945,20402778,55390000,7500000,18544778,17724875,55390000,7500000,18125334,17274815,35890000,7500000,17777000,17178077
2020-12-15,56070000,7500000,21084945,20402778,55390000,7500000,18544778,17724875,55390000,7500000,18125334,17274815,35890000,7500000,17777000,17178077
2020-12-16,56070000,7500000,20970389,20275494,55390000,7500000,18333000,17490875,55390000,7500000,17918500,17045000,35890000,7500000,17683000,17069616
2020-12-17,56070000,7500000,20829612,20131235,55390000,7500000,18307889,17466375,55390000,7500000,17753834,16862038,35890000,7500000,17625667,17005385
2020-12-18,56070000,7500000,20697667,19994260,55390000,7500000,18283667,17439125,55390000,7500000,17801334,16905000,35890000,7500000,17701334,17092693
2020-12-19,56070000,7500000,20589389,19877038,55390000,7500000,18177445,17319625,55390000,7500000,17681500,16771852,35890000,7500000,17648667,17031924
2020-12-20,56070000,7500000,20562834,19847531,55390000,7500000,18249889,17401125,55390000,7500000,17846500,16955186,35890000,7500000,17894334,17315385
2020-12-21,56070000,7500000,20562834,19847531,55390000,7500000,18249889,17401125,55390000,7500000,17846500,16955186,35890000,7500000,17894334,17315385
2020-12-22,56070000,7500000,20562834,19847531,55390000,7500000,18249889,17401125,55390000,7500000,17846500,16955186,35890000,7500000,17894334,17315385
2020-12-23,56070000,7500000,20425445,19708210,55390000,7500000,17940112,17173250,55390000,7500000,17769834,16870000,35890000,7500000,17869334,17286539
2020-12-24,56070000,7500000,20294834,19570988,55390000,7500000,17862000,17089000,55390000,7500000,17640500,16730741,35890000,7500000,17541667,16917693
2020-12-25,56070000,7500000,20188223,19473951,55390000,7500000,17764223,17015000,55390000,7500000,17180667,16347038,35890000,7500000,17341667,16788462
2020-12-26,56070000,4850000,19993834,19329260,55390000,4850000,17594556,16902750,35890000,4850000,16338334,15931482,35890000,4850000,17011000,16547308
2020-12-27,56070000,4850000,19993834,19329260,55390000,4850000,17594556,16902750,35890000,4850000,16338334,15931482,35890000,4850000,17011000,16547308
2020-12-28,56070000,4850000,19993834,19329260,55390000,4850000,17594556,16902750,35890000,4850000,16338334,15931482,35890000,4850000,17011000,16547308
2020-12-29,56070000,4850000,19993834,19329260,55390000,4850000,17594556,16902750,35890000,4850000,16338334,15931482,35890000,4850000,17011000,16547308
2020-12-30,56070000,4850000,19870834,19211852,55390000,4850000,17470667,16795125,35890000,4850000,16069167,15635926,35890000,4850000,16828334,16336539
2020-12-31,56070000,4850000,19779945,19123396,55390000,4850000,17325445,16631750,35890000,4850000,15887500,15434075,35890000,4850000,16663334,16146154
2021-01-01,56070000,4850000,19719389,19056112,55390000,4850000,17281112,16581875,35890000,4850000,15796834,15333334,35890000,4850000,15999667,15380385
2021-01-02,56070000,4850000,19700445,19035062,55390000,4850000,17372334,16684500,35890000,4850000,15884334,15430556,35890000,4850000,16182334,15591154
2021-01-03,56070000,4850000,19700445,19035062,55390000,4850000,17372334,16684500,35890000,4850000,15884334,15430556,35890000,4850000,16182334,15591154
2021-01-04,56070000,4850000,19700445,19035062,55390000,4850000,17372334,16684500,35890000,4850000,15884334,15430556,35890000,4850000,16182334,15591154
2021-01-05,56070000,4850000,19700445,19035062,55390000,4850000,17372334,16684500,35890000,4850000,15884334,15430556,35890000,4850000,16182334,15591154
