date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,7920000,887440,2508650,2380988,5810000,887440,1844965,1754375,5810000,887440,1772115,1654116,5810000,979060,2100302,1922308
2020-10-26,7920000,887440,2508650,2380988,5810000,887440,1844965,1754375,5810000,887440,1772115,1654116,5810000,979060,2100302,1922308
2020-10-27,7920000,887440,2508650,2380988,5810000,887440,1844965,1754375,5810000,887440,1772115,1654116,5810000,979060,2100302,1922308
2020-10-28,7920000,887440,2505927,2377963,5810000,887440,1843077,1752250,5810000,887440,1762448,1643376,5810000,1360000,2115334,1924231
2020-10-29,7920000,887440,2521872,2395680,5810000,887440,1856632,1752250,5810000,887440,1807115,1670228,5810000,1360000,2186000,2005770
2020-10-30,7920000,887440,2588094,2442531,7750000,887440,1980299,1784625,7750000,887440,1995448,1776709,7750000,1360000,2453667,2138847
2020-10-31,8790000,887440,2626705,2465865,8790000,887440,2058743,1823375,8790000,887440,2122781,1863005,8790000,1360000,2626667,2289231
2020-11-01,8790000,887440,2661927,2486605,8790000,887440,2134854,1860125,8790000,887440,2251115,1981894,8790000,1360000,2856667,2514616
2020-11-02,8790000,887440,2661927,2486605,8790000,887440,2134854,1860125,8790000,887440,2251115,1981894,8790000,1360000,2856667,2514616
2020-11-03,8790000,887440,2661927,2486605,8790000,887440,2134854,1860125,8790000,887440,2251115,1981894,8790000,1360000,2856667,2514616
2020-11-04,9230000,887440,2683872,2490556,9230000,887440,2209299,1901125,9230000,887440,2375115,2092265,9230000,1360000,3104334,2783462
2020-11-05,9230000,887440,2707261,2510680,9230000,887440,2269743,1969125,9230000,887440,2461448,2188190,9230000,1360000,3285334,2992308
2020-11-06,12130000,887440,2759316,2536050,12130000,887440,2378077,2033250,12130000,887440,2638115,2322635,12130000,1360000,3627334,3258462
2020-11-07,12130000,887440,2794705,2564568,12130000,887440,2457299,2111250,12130000,887440,2766781,2464504,12130000,1380000,3870000,3536924
2020-11-08,12130000,887440,2814205,2586235,12130000,887440,2508188,2168500,12130000,887440,2847614,2554319,12130000,1380000,4015000,3704231
2020-11-09,12130000,887440,2814205,2586235,12130000,887440,2508188,2168500,12130000,887440,2847614,2554319,12130000,1380000,4015000,3704231
2020-11-10,12130000,887440,2814205,2586235,12130000,887440,2508188,2168500,12130000,887440,2847614,2554319,12130000,1380000,4015000,3704231
