date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,579070000,13700000,118537445,107524260,579070000,37330000,149278556,139554500,579070000,37330000,165636334,156777593,579070000,51780000,231355334,226511154
2020-12-09,579070000,13700000,119190834,108250247,579070000,37330000,150390778,140805750,579070000,37330000,167464334,158808704,579070000,72190000,235131000,229421924
2020-12-10,579070000,13700000,119470612,108561112,579070000,37330000,150983000,141472000,579070000,37330000,168245667,159676852,579070000,89370000,236561667,229839231
2020-12-11,579070000,13700000,119827000,108957099,579070000,37330000,150958667,141444625,579070000,37330000,168397500,159845556,579070000,89370000,237111000,230413847
2020-12-12,579070000,13700000,120149778,109315741,579070000,37330000,150692445,141145125,579070000,37330000,169129500,160658889,579070000,101770000,237524334,230413847
2020-12-13,579070000,13700000,120822112,110062778,579070000,37330000,151645445,142217250,579070000,37330000,170645500,162343334,579070000,101770000,235261667,227803077
2020-12-14,579070000,13700000,120822112,110062778,579070000,37330000,151645445,142217250,579070000,37330000,170645500,162343334,579070000,101770000,235261667,227803077
2020-12-15,579070000,13700000,120822112,110062778,579070000,37330000,151645445,142217250,579070000,37330000,170645500,162343334,579070000,101770000,235261667,227803077
2020-12-16,579070000,13700000,121660389,110994198,579070000,37330000,152992334,143732500,579070000,37330000,172580834,164493704,579070000,101770000,236398667,229115000
2020-12-17,579070000,13700000,122213223,111608457,579070000,37330000,153792556,144632750,579070000,37330000,173477500,165490000,579070000,101770000,231867000,223886154
2020-12-18,579070000,13700000,122775834,112210186,579070000,37330000,154172000,145059625,579070000,37330000,174433500,166552223,579070000,101770000,228560667,220071154
2020-12-19,579070000,13700000,123167167,112645000,579070000,37330000,153595000,144410500,579070000,37330000,175413667,167641297,579070000,101770000,221560334,211993847
2020-12-20,579070000,13700000,123757389,113287284,579070000,37330000,154131556,145014125,579070000,37330000,176325167,168654075,579070000,101770000,215670000,205197308
2020-12-21,579070000,13700000,123757389,113287284,579070000,37330000,154131556,145014125,579070000,37330000,176325167,168654075,579070000,101770000,215670000,205197308
2020-12-22,579070000,13700000,123757389,113287284,579070000,37330000,154131556,145014125,579070000,37330000,176325167,168654075,579070000,101770000,215670000,205197308
2020-12-23,579070000,13700000,124297000,113886852,579070000,37330000,155041667,146038000,579070000,37330000,177789834,170281482,579070000,101770000,210444000,199167308
2020-12-24,579070000,13700000,124683445,114316235,579070000,37330000,155624556,146693750,579070000,37330000,179005167,171592593,579070000,101770000,207010000,195205000
2020-12-25,579070000,13700000,125024445,114672717,579070000,37330000,155639556,146710625,579070000,37330000,177593667,170024260,579070000,79690000,201815000,190215000
2020-12-26,579070000,13700000,125172167,114836852,579070000,37330000,155522223,146578625,579070000,37330000,175524834,167725556,579070000,59400000,197809000,187222308
2020-12-27,579070000,13700000,125172167,114836852,579070000,37330000,155522223,146578625,579070000,37330000,175524834,167725556,579070000,59400000,197809000,187222308
2020-12-28,579070000,13700000,125172167,114836852,579070000,37330000,155522223,146578625,579070000,37330000,175524834,167725556,579070000,59400000,197809000,187222308
2020-12-29,579070000,13700000,125172167,114836852,579070000,37330000,155522223,146578625,579070000,37330000,175524834,167725556,579070000,59400000,197809000,187222308
2020-12-30,579070000,13700000,125537223,115242470,579070000,37330000,156212889,147318875,579070000,37330000,175941667,168188704,579070000,59400000,189669000,177935770
2020-12-31,579070000,13700000,126001889,115758766,579070000,37330000,156991223,148194500,579070000,37330000,176398500,168696297,345580000,59400000,174370667,170516154
2021-01-01,579070000,13700000,126494556,116306173,579070000,37330000,157502556,148769750,579070000,37330000,177321000,169721297,345580000,59400000,168037334,163208462
2021-01-02,579070000,13700000,127001056,116868951,579070000,37330000,157838889,149148125,579070000,37330000,178250167,170753704,313030000,59400000,160817000,157719616
2021-01-03,579070000,13700000,127001056,116868951,579070000,37330000,157838889,149148125,579070000,37330000,178250167,170753704,313030000,59400000,160817000,157719616
2021-01-04,579070000,13700000,127001056,116868951,579070000,37330000,157838889,149148125,579070000,37330000,178250167,170753704,313030000,59400000,160817000,157719616
2021-01-05,579070000,13700000,127001056,116868951,579070000,37330000,157838889,149148125,579070000,37330000,178250167,170753704,313030000,59400000,160817000,157719616
2021-01-06,579070000,13700000,127996167,117974630,579070000,37330000,156751112,147924375,579070000,37330000,180613500,173379630,313030000,59400000,158466000,155063847
2021-01-07,579070000,13700000,128708556,118744939,579070000,37330000,154338000,145441125,579070000,37330000,181776000,174671297,313030000,59400000,155570667,151723077
2021-01-08,579070000,13700000,129572612,119689383,579070000,37330000,154065445,145134500,579070000,42360000,184075834,176959075,313030000,59400000,154444334,150423462
2021-01-09,579070000,13700000,130146500,120275494,579070000,37330000,153649889,144667000,579070000,42360000,185291334,178041297,313030000,59400000,149365667,145410385
2021-01-10,579070000,13700000,131256000,121471482,579070000,37330000,153544667,144548625,579070000,51780000,188204334,180852038,313030000,59400000,148481334,144390000
2021-01-11,579070000,13700000,131256000,121471482,579070000,37330000,153544667,144548625,579070000,51780000,188204334,180852038,313030000,59400000,148481334,144390000
2021-01-12,579070000,13700000,131256000,121471482,579070000,37330000,153544667,144548625,579070000,51780000,188204334,180852038,313030000,59400000,148481334,144390000
2021-01-13,579070000,13700000,132576945,122910741,579070000,37330000,154903112,146076875,579070000,51780000,186071000,179214445,313030000,59400000,150327667,146069616
2021-01-14,579070000,13700000,133400723,123826050,579070000,37330000,155241556,146457625,579070000,51780000,182757334,176220741,313030000,59400000,152931667,149074231
2021-01-15,579070000,13700000,133841167,124315433,579070000,37330000,155099889,146298250,579070000,51780000,181571500,174903149,313030000,59400000,150793000,146606539
2021-01-16,579070000,13700000,133895278,124375556,579070000,37330000,154384889,145493875,579070000,51780000,181311834,174614630,313030000,59400000,145819667,140868077
2021-01-17,579070000,13700000,134378778,124912778,579070000,37330000,154851000,146018250,579070000,51780000,181765500,175118704,259900000,59400000,139771000,137576924
2021-01-18,579070000,13700000,134378778,124912778,579070000,37330000,154851000,146018250,579070000,51780000,181765500,175118704,259900000,59400000,139771000,137576924
2021-01-19,579070000,13700000,134378778,124912778,579070000,37330000,154851000,146018250,579070000,51780000,181765500,175118704,259900000,59400000,139771000,137576924
2021-01-20,579070000,13700000,134378778,124912778,579070000,37330000,154851000,146018250,579070000,51780000,181765500,175118704,259900000,59400000,139771000,137576924
2021-01-21,579070000,13700000,134755945,125331852,579070000,37330000,154941778,146120375,579070000,51780000,182328834,175618519,259900000,59400000,137295667,134720770
2021-01-22,579070000,13700000,135152112,125744630,579070000,37330000,155108667,146308125,579070000,51780000,182704334,176035371,259900000,59400000,134053334,130979616
2021-01-23,579070000,13700000,135432334,126021791,579070000,37330000,155301889,146525500,579070000,59400000,183054000,176035371,259900000,59400000,130977000,127696539
2021-01-24,579070000,13700000,135858389,126495186,579070000,37330000,155999778,147310625,579070000,59400000,184034834,176986297,259900000,59400000,131508000,128309231
2021-01-25,579070000,13700000,135858389,126495186,579070000,37330000,155999778,147310625,579070000,59400000,184034834,176986297,259900000,59400000,131508000,128309231
2021-01-26,579070000,13700000,135858389,126495186,579070000,37330000,155999778,147310625,579070000,59400000,184034834,176986297,259900000,59400000,131508000,128309231
2021-01-27,579070000,13700000,136325667,126972038,579070000,37330000,155991112,147300875,579070000,59400000,184144667,177108334,259900000,59400000,131178334,127928847
2021-01-28,579070000,13700000,136549500,127182655,579070000,37330000,156105556,147429625,579070000,59400000,183791000,176929075,259900000,59400000,130057667,126813077
2021-01-29,579070000,13700000,136859112,127398642,579070000,37330000,156295889,147643750,579070000,59400000,181429167,174312963,259900000,59400000,127596667,123973462
2021-01-30,579070000,13700000,137144112,127593766,579070000,37330000,156499778,147873125,579070000,59400000,180368167,173134075,259900000,59400000,124337667,120213077
2021-01-31,579070000,13700000,137389389,127817284,579070000,37330000,156524334,147900750,579070000,59400000,177242500,169661112,259900000,59400000,122618000,118228847
2021-02-01,579070000,13700000,137389389,127817284,579070000,37330000,156524334,147900750,579070000,59400000,177242500,169661112,259900000,59400000,122618000,118228847
2021-02-02,579070000,13700000,137389389,127817284,579070000,37330000,156524334,147900750,579070000,59400000,177242500,169661112,259900000,59400000,122618000,118228847
2021-02-03,579070000,13700000,137714112,128045865,579070000,37330000,156728000,148129875,579070000,59400000,174938834,167101482,259900000,59400000,121317000,116727693
2021-02-04,579070000,21710000,138003778,128188149,579070000,37330000,156675445,148070750,579070000,59400000,170379667,162155741,259900000,59400000,119199000,114372693
2021-02-05,579070000,21710000,138291945,128407778,579070000,37330000,156771334,148178625,579070000,59400000,166666834,158030371,259900000,59400000,117663667,112601154
2021-02-06,579070000,22890000,138440112,128429198,579070000,37330000,156818667,148178625,579070000,48380000,162660167,153944630,259900000,48380000,114876334,110056539
2021-02-07,579070000,22890000,138388500,128385062,579070000,37330000,156818445,148178625,579070000,42770000,159727500,151113334,259900000,42770000,112445000,107890770
2021-02-08,579070000,22890000,138388500,128385062,579070000,37330000,156818445,148178625,579070000,42770000,159727500,151113334,259900000,42770000,112445000,107890770
