date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-11-11,2740000,187330,728144,677473,1810000,187330,593473,562071,1530000,187330,530676,500981,714700,187330,368321,358407
2020-11-12,2740000,187330,732930,682790,1810000,187330,597336,566416,1530000,187330,543773,515534,1080000,187330,382978,358407
2020-11-13,2740000,187330,735903,686094,1810000,187330,599673,569046,1530000,187330,551649,524285,1080000,187330,403279,377511
2020-11-14,2740000,187330,734793,684861,1810000,187330,602900,572558,1530000,187330,553880,526763,1080000,187330,410602,385960
2020-11-15,2740000,187330,733081,682959,1810000,187330,601939,571476,1530000,187330,536326,509482,1080000,187330,399873,373581
2020-11-16,2740000,187330,733081,682959,1810000,187330,601939,571476,1530000,187330,536326,509482,1080000,187330,399873,373581
2020-11-17,2740000,187330,733081,682959,1810000,187330,601939,571476,1530000,187330,536326,509482,1080000,187330,399873,373581
2020-11-18,2740000,187330,730789,680412,1810000,187330,600338,569675,1530000,187330,520299,497044,1080000,187330,400386,374172
2020-11-19,2740000,187330,728045,677363,1810000,187330,597577,566569,1530000,187330,512537,488420,1080000,187330,400682,374514
2020-11-20,2740000,187330,727628,676900,1810000,187330,597213,566160,1530000,187330,507837,483197,1080000,187330,398027,371450
2020-11-21,2740000,187330,727004,676207,1810000,187330,596606,565478,1530000,187330,499915,474396,1080000,187330,395453,368480
2020-11-22,2740000,187330,730604,680206,1810000,187330,601400,570870,1530000,187330,504273,479238,1080000,187330,412802,384595
2020-11-23,2740000,187330,730604,680206,1810000,187330,601400,570870,1530000,187330,504273,479238,1080000,187330,412802,384595
2020-11-24,2740000,187330,730604,680206,1810000,187330,601400,570870,1530000,187330,504273,479238,1080000,187330,412802,384595
2020-11-25,2740000,187330,733503,683428,1810000,187330,602037,571588,1530000,187330,499772,474236,1080000,187330,427298,401321
2020-11-26,2740000,187330,738052,688481,1810000,187330,606825,576973,1530000,187330,503104,477198,1120000,187330,457349,428631
2020-11-27,2740000,187330,737199,687534,1810000,187330,604268,574097,1530000,187330,493506,466534,1120000,187330,462398,434456
2020-11-28,2740000,125680,735533,686253,1810000,125680,597307,567318,1530000,125680,475601,450080,1120000,125680,451270,424042
2020-11-29,2740000,125680,732063,682964,1810000,125680,580031,549048,1120000,125680,452658,436894,1120000,125680,441673,415340
