date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-11-11,2630000,3170,129823,100083,2630000,38770,189471,137204,2630000,44990,215035,138478,2630000,67220,298241,150733
2020-11-12,2630000,3170,131278,101333,2630000,38770,189614,137204,2630000,44990,218916,142790,2630000,70960,306031,159019
2020-11-13,2630000,3170,131789,101845,2630000,38770,188779,136265,2630000,44990,218671,142518,2630000,70960,306370,159120
2020-11-14,2630000,3170,132387,102510,2630000,38770,188812,136302,2630000,44990,218508,142337,2630000,70960,307120,159985
2020-11-15,2630000,3170,132774,102911,2630000,38770,187670,135017,2630000,44990,217030,140694,2630000,70960,305117,158218
2020-11-16,2630000,3170,132774,102911,2630000,38770,187670,135017,2630000,44990,217030,140694,2630000,70960,305117,158218
2020-11-17,2630000,3170,132774,102911,2630000,38770,187670,135017,2630000,44990,217030,140694,2630000,70960,305117,158218
2020-11-18,2630000,3170,133696,103872,2630000,38770,187436,134754,2630000,44990,217935,141700,2630000,70960,305820,159029
2020-11-19,2630000,3170,134107,104292,2630000,38770,186497,133698,2630000,44990,218063,141842,2630000,70960,305350,158487
2020-11-20,2630000,3170,135436,105656,2630000,38770,186714,133942,2630000,44990,219051,142941,2630000,70960,310113,163983
