date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,40080000,2590000,8831056,8205494,40080000,2590000,8742778,7882500,32110000,2590000,8497667,7775371,32110000,2590000,10383667,9402308
2020-12-09,40080000,2590000,8835500,8210433,40080000,2590000,8775223,7917375,32110000,2590000,8512000,7791297,32110000,2590000,10501000,9513077
2020-12-10,40080000,2590000,8855612,8232778,40080000,2590000,8744778,7883125,32110000,2590000,8583667,7870926,32110000,3470000,10742667,9738847
2020-12-11,40080000,2590000,8868723,8247346,40080000,2590000,8783556,7926750,32110000,2590000,8653500,7948519,32110000,3970000,10981334,9985385
2020-12-12,40080000,2590000,8869278,8247963,40080000,2590000,8802000,7947500,32110000,2590000,8683834,7982223,32110000,4220000,11059667,10058462
2020-12-13,40080000,2590000,8852445,8229260,40080000,2590000,8837112,7987000,32110000,2590000,8721500,8024075,32110000,4220000,11045667,10042308
2020-12-14,40080000,2590000,8852445,8229260,40080000,2590000,8837112,7987000,32110000,2590000,8721500,8024075,32110000,4220000,11045667,10042308
2020-12-15,40080000,2590000,8852445,8229260,40080000,2590000,8837112,7987000,32110000,2590000,8721500,8024075,32110000,4220000,11045667,10042308
2020-12-16,40080000,2590000,8853889,8230865,40080000,2590000,8848889,8000250,32110000,2590000,8680500,7978519,32110000,4220000,11130000,10139616
2020-12-17,40080000,2590000,8827167,8201173,40080000,2590000,8823667,7971875,32110000,2590000,8654500,7949630,32110000,4220000,11153334,10141154
2020-12-18,40080000,2590000,8795723,8166235,40080000,2590000,8809889,7956375,32110000,2590000,8651334,7946112,32110000,4220000,10926667,9911924
2020-12-19,40080000,2590000,8786445,8155926,40080000,2590000,8813112,7960000,32110000,2590000,8651000,7945741,32110000,4220000,10745667,9703077
2020-12-20,40080000,2590000,8771112,8138889,40080000,2590000,8805667,7951625,32110000,2590000,8506834,7785556,32110000,4220000,10616667,9554231
2020-12-21,40080000,2590000,8771112,8138889,40080000,2590000,8805667,7951625,32110000,2590000,8506834,7785556,32110000,4220000,10616667,9554231
2020-12-22,40080000,2590000,8771112,8138889,40080000,2590000,8805667,7951625,32110000,2590000,8506834,7785556,32110000,4220000,10616667,9554231
2020-12-23,40080000,2590000,8749223,8114630,40080000,2590000,8810889,7956500,32110000,2590000,8450667,7723149,32110000,4030001,10610334,9554231
2020-12-24,40080000,2590000,8717667,8079568,40080000,2590000,8809889,7955375,32110000,2590000,8426834,7696667,32110000,4030001,10517000,9446539
2020-12-25,40080000,2590000,8711000,8072161,40080000,2590000,8752889,7891250,32110000,2590000,8409834,7677778,32110000,4030001,10379667,9288077
2020-12-26,40080000,2590000,8745334,8110309,40080000,2590000,8828667,7976500,32110000,2590000,8544334,7827223,32110000,4030001,10442667,9360770
