date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,600800,17350,160325,150760,600800,23670,211132,202405,600800,64090,259854,252557,600800,73920,297755,292204
2020-10-26,600800,17350,160325,150760,600800,23670,211132,202405,600800,64090,259854,252557,600800,73920,297755,292204
2020-10-27,600800,17350,160325,150760,600800,23670,211132,202405,600800,64090,259854,252557,600800,73920,297755,292204
2020-10-28,600800,17350,161017,151529,600800,23670,214441,206046,600800,73920,264575,256989,600800,73920,302037,297144
2020-10-29,600800,17350,163013,153294,600800,23670,218421,210227,600800,73920,269531,262496,600800,73920,309399,305639
2020-10-30,600800,17350,165305,155233,600800,43220,226578,218293,600800,73920,276959,270749,600800,73920,318680,316348
2020-10-31,600800,17350,166608,156681,600800,43220,228347,220283,600800,73920,279377,273436,600800,73920,324787,322449
2020-11-01,600800,17350,167403,157564,600800,43220,230628,222848,600800,73920,281991,276340,600800,73920,330075,328258
2020-11-02,600800,17350,167403,157564,600800,43220,230628,222848,600800,73920,281991,276340,600800,73920,330075,328258
2020-11-03,600800,17350,167403,157564,600800,43220,230628,222848,600800,73920,281991,276340,600800,73920,330075,328258
2020-11-04,687910,17350,170386,159067,687910,43220,237677,227775,687910,73920,289813,282546,687910,131960,350541,343437
2020-11-05,687910,17350,172212,160819,687910,53560,242162,232472,687910,73920,294745,288026,687910,131960,359896,353255
2020-11-06,687910,17350,174414,162886,687910,53560,246284,236987,687910,73920,300284,294181,687910,131960,369900,364797
2020-11-07,865690,17350,178041,164265,865690,53560,253532,240519,865690,73920,312057,301617,865690,191600,394358,378284
