date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,18610000,986800,3311908,2813800,18610000,986800,3311908,2813800,18610000,986800,3311908,2813800,18610000,986800,3088227,2338462
2020-12-09,18610000,986800,3396436,2918040,18610000,986800,3396436,2918040,18610000,986800,3396436,2918040,18610000,986800,3171894,2435000
2020-12-10,18610000,986800,3532187,3075385,18610000,986800,3532187,3075385,18610000,986800,3532187,3075385,18610000,986800,3412894,2706539
2020-12-11,18610000,986800,3623845,3186038,18610000,986800,3623845,3186038,18610000,986800,3623845,3186038,18610000,986800,3594560,2916154
2020-12-12,18610000,986800,3644780,3217408,18610000,986800,3644780,3217408,18610000,986800,3644780,3217408,18610000,986800,3687560,3023462
2020-12-13,18610000,986800,3688964,3164340,18610000,986800,3688964,3164340,18610000,986800,3551947,3129260,18610000,986800,3860560,3218462
2020-12-14,18610000,986800,3688964,3164340,18610000,986800,3688964,3164340,18610000,986800,3551947,3129260,18610000,986800,3860560,3218462
2020-12-15,18610000,986800,3688964,3164340,18610000,986800,3688964,3164340,18610000,986800,3551947,3129260,18610000,986800,3860560,3218462
2020-12-16,18610000,986800,3741400,3234260,18610000,986800,3741400,3234260,18610000,986800,3542947,3119260,18610000,986800,4011894,3393077
2020-12-17,20290000,986800,4004077,3377273,20290000,986800,4004077,3377273,20290000,986800,3789114,3222593,20290000,986800,4644894,3776539
2020-12-18,20290000,986800,4041825,3431608,20290000,986800,4041825,3431608,20290000,986800,3831280,3269445,20290000,986800,4812894,3970385
2020-12-19,20290000,986800,4036567,3436316,20290000,986800,4036567,3436316,20290000,986800,3795447,3229630,20290000,986800,4889894,4059231
2020-12-20,20290000,986800,4097982,3516552,20290000,986800,4097982,3516552,20290000,986800,3849947,3290186,20290000,986800,5117227,4318077
2020-12-21,20290000,986800,4097982,3516552,20290000,986800,4097982,3516552,20290000,986800,3849947,3290186,20290000,986800,5117227,4318077
2020-12-22,20290000,986800,4097982,3516552,20290000,986800,4097982,3516552,20290000,986800,3849947,3290186,20290000,986800,5117227,4318077
2020-12-23,20290000,986800,4124281,3556272,20290000,986800,4124281,3556272,20290000,986800,3914447,3361852,20290000,1360000,5279667,4488077
2020-12-24,20290000,986800,4132453,3575000,20290000,986800,4132453,3575000,20290000,986800,3921780,3370000,20290000,1360000,5336667,4553847
2020-12-25,20290000,986800,4112128,3561148,20290000,986800,4112128,3561148,20290000,986800,3878780,3322223,20290000,1360000,5352000,4571539
2020-12-26,20290000,986800,4084669,3539033,20290000,986800,4084669,3539033,20290000,986800,3824947,3262408,20290000,1360000,5377000,4598462
2020-12-27,20290000,986800,4084669,3539033,20290000,986800,4084669,3539033,20290000,986800,3824947,3262408,20290000,1360000,5377000,4598462
2020-12-28,20290000,986800,4084669,3539033,20290000,986800,4084669,3539033,20290000,986800,3824947,3262408,20290000,1360000,5377000,4598462
2020-12-29,20290000,986800,4084669,3539033,20290000,986800,4084669,3539033,20290000,986800,3824947,3262408,20290000,1360000,5377000,4598462
2020-12-30,20290000,986800,4093336,3557461,20290000,986800,4093336,3557461,20290000,986800,3836947,3275741,20290000,1360000,5475667,4712308
2020-12-31,20290000,986800,4103150,3576875,20290000,986800,4103150,3576875,20290000,986800,3871447,3314075,20290000,1360000,5586000,4835770
2021-01-01,20290000,986800,4082833,3562154,20290000,986800,4082833,3562154,20290000,986800,3875780,3318889,20290000,1360000,5613334,4867308
2021-01-02,20290000,986800,4099011,3588182,20290000,986800,4099011,3588182,20290000,986800,3937614,3387593,20290000,1360000,5735000,5007693
2021-01-03,20290000,986800,4099011,3588182,20290000,986800,4099011,3588182,20290000,986800,3937614,3387593,20290000,1360000,5735000,5007693
2021-01-04,20290000,986800,4099011,3588182,20290000,986800,4099011,3588182,20290000,986800,3937614,3387593,20290000,1360000,5735000,5007693
2021-01-05,20290000,986800,4099011,3588182,20290000,986800,4099011,3588182,20290000,986800,3937614,3387593,20290000,1360000,5735000,5007693
2021-01-06,20290000,986800,4096891,3593433,20290000,986800,4096891,3593433,20290000,986800,3975280,3429445,20290000,1360000,5793000,5074616
2021-01-07,20290000,986800,4111143,3616765,20290000,986800,4111143,3616765,20290000,986800,4039280,3500556,20290000,1360000,5912667,5212308
