date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,4000000,108900,743941,650834,4000000,157120,994556,894362,4000000,308430,1249488,1165508,4000000,308430,1675177,1599834
2020-10-26,4000000,108900,743941,650834,4000000,157120,994556,894362,4000000,308430,1249488,1165508,4000000,308430,1675177,1599834
2020-10-27,4000000,108900,743941,650834,4000000,157120,994556,894362,4000000,308430,1249488,1165508,4000000,308430,1675177,1599834
2020-10-28,4000000,108900,752987,660886,4000000,157120,1012165,914172,4000000,308430,1267058,1185029,4000000,308430,1716974,1648062
2020-10-29,4000000,108900,756739,665054,4000000,157120,1023455,926874,4000000,308430,1271224,1189658,4000000,308430,1736138,1670174
2020-10-30,4000000,108900,760507,669241,4000000,180850,1051846,957215,4000000,308430,1291158,1211808,4000000,308430,1791212,1733210
2020-10-31,4000000,108900,766949,676398,4000000,180850,1064109,971011,4000000,308430,1304238,1226340,4000000,308430,1824730,1765856
2020-11-01,4000000,108900,773278,683431,4000000,180850,1078089,985704,4000000,308430,1315630,1238998,4000000,308430,1853023,1797497
2020-11-02,4000000,108900,773278,683431,4000000,180850,1078089,985704,4000000,308430,1315630,1238998,4000000,308430,1853023,1797497
2020-11-03,4000000,108900,773278,683431,4000000,180850,1078089,985704,4000000,308430,1315630,1238998,4000000,308430,1853023,1797497
2020-11-04,4000000,108900,779167,689974,4000000,180850,1098978,1009205,4000000,308430,1337761,1263588,4000000,647330,1916075,1854104
2020-11-05,4000000,108900,786056,697011,4000000,180850,1124015,1035974,4000000,308430,1364816,1293649,4000000,728210,1976164,1911924
2020-11-06,4480000,108900,806667,706949,4480000,234590,1171784,1068060,4480000,308430,1427834,1339225,4480000,728210,2093941,2013462
2020-11-07,4580000,108900,824000,713060,4580000,234590,1217978,1100653,4580000,308430,1493748,1399870,4580000,1260000,2222334,2118462
2020-11-08,4580000,108900,831833,721764,4580000,234590,1242261,1127577,4580000,308430,1526694,1436477,4580000,1260000,2255667,2156924
2020-11-09,4580000,108900,831833,721764,4580000,234590,1242261,1127577,4580000,308430,1526694,1436477,4580000,1260000,2255667,2156924
2020-11-10,4580000,108900,831833,721764,4580000,234590,1242261,1127577,4580000,308430,1526694,1436477,4580000,1260000,2255667,2156924
2020-11-10,4580000,108900,845640,734883,4580000,234590,1267444,1155908,4580000,308430,1569119,1483616,4580000,1260000,2311000,2220770
2020-11-11,4580000,108900,845640,734883,4580000,234590,1267444,1155908,4580000,308430,1569119,1483616,4580000,1260000,2311000,2220770
2020-11-12,4580000,108900,847807,737290,4580000,234590,1285285,1175980,4580000,308430,1595853,1513320,4580000,1260000,2322667,2234231
2020-11-13,4580000,108900,846751,736117,4580000,234590,1297250,1189440,4580000,308430,1611266,1530445,4580000,1260000,2321667,2233077
2020-11-14,4580000,108900,849974,739698,4580000,234590,1308411,1201997,4580000,308430,1632594,1553290,4580000,1260000,2321667,2233077
2020-11-15,4580000,108900,851286,741156,4580000,234590,1314036,1208324,4580000,308430,1643065,1562553,4580000,951420,2274048,2190385
2020-11-16,4580000,108900,851286,741156,4580000,234590,1314036,1208324,4580000,308430,1643065,1562553,4580000,951420,2274048,2190385
2020-11-17,4580000,108900,851286,741156,4580000,234590,1314036,1208324,4580000,308430,1643065,1562553,4580000,951420,2274048,2190385
