date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-10-25,27630000,967870,3363155,3032963,27630000,967870,3303866,2807625,27630000,1260000,3768167,3233519,4450000,1260000,2285000,2197308
2020-10-26,27630000,967870,3363155,3032963,27630000,967870,3303866,2807625,27630000,1260000,3768167,3233519,4450000,1260000,2285000,2197308
2020-10-27,27630000,967870,3363155,3032963,27630000,967870,3303866,2807625,27630000,1260000,3768167,3233519,4450000,1260000,2285000,2197308
2020-10-28,27630000,967870,3369711,3038766,27630000,967870,3299421,2802625,27630000,1260000,3763667,3228519,4450000,1260000,2298667,2213077
2020-10-29,27630000,967870,3379655,3048396,27630000,967870,3277421,2777875,27630000,1260000,3781834,3248704,4450000,1260000,2344000,2265385
2020-10-30,27630000,967870,3454155,3101359,27630000,967870,3394421,2882000,11260000,1260000,3536667,3279445,11260000,1260000,2673334,2378077
2020-10-31,27630000,967870,3481989,3130988,27630000,967870,3432421,2924750,11260000,1260000,3465334,3224630,11260000,1260000,2728667,2383462
2020-11-01,27630000,967870,3505489,3157099,27630000,967870,3469532,2966500,11260000,1260000,3406000,3214630,11260000,1260000,2835334,2506539
2020-11-02,27630000,967870,3505489,3157099,27630000,967870,3469532,2966500,11260000,1260000,3406000,3214630,11260000,1260000,2835334,2506539
2020-11-03,27630000,967870,3505489,3157099,27630000,967870,3469532,2966500,11260000,1260000,3406000,3214630,11260000,1260000,2835334,2506539
2020-11-04,27630000,967870,3524544,3178272,27630000,967870,3415755,2923625,11260000,1260000,3348834,3196852,11260000,1260000,2898667,2579616
