date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,194930000,17360000,67351167,65898457,118470000,17360000,57406223,56161750,109480000,17360000,47420834,46014445,78040000,17360000,37126000,36002693
2020-12-09,194930000,17360000,67206945,65738210,118470000,17360000,57608445,56389250,109480000,17360000,47347334,45932778,78040000,17360000,37879000,36871539
2020-12-10,194930000,17360000,66922056,65421667,118470000,17360000,57630334,56413875,109480000,17360000,47017000,45565741,78040000,17360000,39044334,38188462
2020-12-11,194930000,17360000,66724167,65201791,118470000,17360000,57924112,56744375,109480000,17360000,46570167,45110556,78040000,17360000,40637667,39746539
2020-12-12,194930000,17360000,66610778,65075803,118470000,17360000,58197778,57052250,109480000,17360000,46472667,45002223,78040000,17360000,42012667,41333077
2020-12-13,194930000,17360000,66467612,64916729,118470000,17360000,58433667,57317625,109480000,17360000,45961667,44434445,78040000,17360000,42794667,42235385
2020-12-14,194930000,17360000,66467612,64916729,118470000,17360000,58433667,57317625,109480000,17360000,45961667,44434445,78040000,17360000,42794667,42235385
2020-12-15,194930000,17360000,66467612,64916729,118470000,17360000,58433667,57317625,109480000,17360000,45961667,44434445,78040000,17360000,42794667,42235385
2020-12-16,194930000,17360000,66421223,64865186,118470000,17360000,58674556,57588625,109480000,17360000,45382167,43790556,78040000,17360000,43096334,42583462
2020-12-17,194930000,17360000,66176945,64593766,118470000,17360000,58679112,57593750,96560000,17360000,44305667,43148149,78040000,17360000,43625334,43193847
2020-12-18,194930000,17360000,66038723,64440186,118470000,17360000,58726667,57647250,96560000,17360000,43677500,42478704,78040000,17360000,43876667,43483847
2020-12-19,194930000,17360000,65796778,64171359,118470000,17360000,58866778,57804875,96560000,17360000,43022000,42188149,78040000,17360000,44663334,44391539
2020-12-20,205620000,17360000,66312389,64197778,205620000,17360000,59934889,57804875,205620000,17360000,44839667,42188149,205620000,17360000,50570334,46010000
2020-12-21,205620000,17360000,66312389,64197778,205620000,17360000,59934889,57804875,205620000,17360000,44839667,42188149,205620000,17360000,50570334,46010000
2020-12-22,205620000,17360000,66312389,64197778,205620000,17360000,59934889,57804875,205620000,17360000,44839667,42188149,205620000,17360000,50570334,46010000
2020-12-23,205620000,17360000,66218723,64093704,205620000,17360000,59440667,57248875,205620000,17360000,44680334,42011112,205620000,17360000,51768334,47392308
