date,max_180,min_180,mean_180,adjusted_mean_180,max_90,min_90,mean_90,adjusted_mean_90,max_60,min_60,mean_60,adjusted_mean_60,max_30,min_30,mean_30,adjusted_mean_30
2020-12-08,53350000,3090000,11290667,10494692,53350000,3090000,10488445,9742000,27050000,4190001,10883667,10555371,20750000,4270000,10173000,9808847
2020-12-09,53350000,3090000,11161500,10371482,53350000,3090000,10449556,9698250,27050000,4190001,10802500,10465556,20750000,4270000,10141334,9773077
2020-12-10,53350000,3090000,11066445,10265865,53350000,3090000,10470778,9712000,27050000,4190001,10758000,10416112,20750000,4270000,9981667,9588847
2020-12-11,53350000,3090000,11034056,10229877,53350000,3090000,10494334,9738500,27050000,4190001,10764834,10423704,20750000,4270000,10037667,9653462
2020-12-12,53350000,3090000,11007778,10200680,53350000,3600000,10510556,9742000,27050000,4190001,10728167,10382963,20750000,4270000,9895667,9489616
2020-12-13,53350000,3090000,10960000,10147593,53350000,3600000,10512223,9743875,27050000,4190001,10651667,10297963,20750000,4270000,9744334,9315000
2020-12-14,53350000,3090000,10960000,10147593,53350000,3600000,10512223,9743875,27050000,4190001,10651667,10297963,20750000,4270000,9744334,9315000
2020-12-15,53350000,3090000,10960000,10147593,53350000,3600000,10512223,9743875,27050000,4190001,10651667,10297963,20750000,4270000,9744334,9315000
2020-12-16,53350000,3090000,10910278,10092346,53350000,3660000,10547889,9773625,27050000,4190001,10393167,10040926,20750000,4270000,9680667,9241539
2020-12-17,53350000,3090000,10883112,10062161,53350000,3660000,10549112,9775000,27050000,4190001,10198000,9824075,20750000,4270000,9583334,9129231
2020-12-18,53350000,3090000,10842556,10017346,53350000,3660000,10531778,9759000,27050000,4150001,9993167,9601667,20750000,4150001,9505000,9049616
2020-12-19,53350000,3090000,10711889,9898087,53350000,3660000,10465778,9690750,20750000,3790000,9605500,9346852,20750000,3790000,9363000,8904231
2020-12-20,53350000,3090000,10678056,9860494,53350000,3660000,10490445,9714250,20750000,3790000,9409667,9129260,20750000,3790000,9355334,8895385
2020-12-21,53350000,3090000,10678056,9860494,53350000,3660000,10490445,9714250,20750000,3790000,9409667,9129260,20750000,3790000,9355334,8895385
